#Jurisdiction	Cause	ResponseCategory	ProtectionZone	Year	Annee	Juridiction	DataQualifier	ISO	Niveaudintervention	Origine	Qualificatifs de donnees	Zonedeprotection	Nombre	Nombre (nul)	Number	Number (null)	Number of Records
Nova Scotia	Railways	None	Intensive	1990	1990	Nouvelle-Ecosse	a	NS	Aucune	Chemins de fer	a	Intensive	0		0		1
Nova Scotia	Other industry	Full	Intensive	1990	1990	Nouvelle-Ecosse	a	NS	Normale	Autres industrielles	a	Intensive	25	25	25	25	1
Nova Scotia	Other industry	Modified	Intensive	1990	1990	Nouvelle-Ecosse	a	NS	Modulee	Autres industrielles	a	Intensive	0		0		1
Nova Scotia	Other industry	None	Intensive	1990	1990	Nouvelle-Ecosse	a	NS	Aucune	Autres industrielles	a	Intensive	0		0		1
Nova Scotia	Incendiary	Full	Intensive	1990	1990	Nouvelle-Ecosse	a	NS	Normale	Incendiaires	a	Intensive	130	130	130	130	1
Nova Scotia	Incendiary	Modified	Intensive	1990	1990	Nouvelle-Ecosse	a	NS	Modulee	Incendiaires	a	Intensive	0		0		1
Nova Scotia	Incendiary	None	Intensive	1990	1990	Nouvelle-Ecosse	a	NS	Aucune	Incendiaires	a	Intensive	0		0		1
Nova Scotia	Miscellaneous known causes	Full	Intensive	1990	1990	Nouvelle-Ecosse	a	NS	Normale	Causes diverses connues	a	Intensive	56	56	56	56	1
Nova Scotia	Miscellaneous known causes	Modified	Intensive	1990	1990	Nouvelle-Ecosse	a	NS	Modulee	Causes diverses connues	a	Intensive	0		0		1
Nova Scotia	Miscellaneous known causes	None	Intensive	1990	1990	Nouvelle-Ecosse	a	NS	Aucune	Causes diverses connues	a	Intensive	0		0		1
Nova Scotia	Lightning	Full	Intensive	1990	1990	Nouvelle-Ecosse	a	NS	Normale	Foudre	a	Intensive	8	8	8	8	1
Nova Scotia	Lightning	Modified	Intensive	1990	1990	Nouvelle-Ecosse	a	NS	Modulee	Foudre	a	Intensive	0		0		1
Nova Scotia	Lightning	None	Intensive	1990	1990	Nouvelle-Ecosse	a	NS	Aucune	Foudre	a	Intensive	0		0		1
Nova Scotia	Unspecified	Full	Intensive	1990	1990	Nouvelle-Ecosse	a	NS	Normale	Indeterminee	a	Intensive	48	48	48	48	1
Nova Scotia	Unspecified	Modified	Intensive	1990	1990	Nouvelle-Ecosse	a	NS	Modulee	Indeterminee	a	Intensive	0		0		1
Nova Scotia	Unspecified	None	Intensive	1990	1990	Nouvelle-Ecosse	a	NS	Aucune	Indeterminee	a	Intensive	0		0		1
New Brunswick	Recreation	Full	Intensive	1990	1990	Nouveau-Brunswick	a	NB	Normale	Recreation	a	Intensive	23	23	23	23	1
New Brunswick	Recreation	Modified	Intensive	1990	1990	Nouveau-Brunswick	n	NB	Modulee	Recreation	n	Intensive					1
New Brunswick	Recreation	None	Intensive	1990	1990	Nouveau-Brunswick	n	NB	Aucune	Recreation	n	Intensive					1
New Brunswick	Residents	Full	Intensive	1990	1990	Nouveau-Brunswick	a	NB	Normale	Residants	a	Intensive	101	101	101	101	1
New Brunswick	Residents	Modified	Intensive	1990	1990	Nouveau-Brunswick	n	NB	Modulee	Residants	n	Intensive					1
New Brunswick	Residents	None	Intensive	1990	1990	Nouveau-Brunswick	n	NB	Aucune	Residants	n	Intensive					1
New Brunswick	Forest industry	Full	Intensive	1990	1990	Nouveau-Brunswick	a	NB	Normale	Industrie forestiere	a	Intensive	24	24	24	24	1
New Brunswick	Forest industry	Modified	Intensive	1990	1990	Nouveau-Brunswick	n	NB	Modulee	Industrie forestiere	n	Intensive					1
New Brunswick	Forest industry	None	Intensive	1990	1990	Nouveau-Brunswick	n	NB	Aucune	Industrie forestiere	n	Intensive					1
New Brunswick	Railways	Full	Intensive	1990	1990	Nouveau-Brunswick	a	NB	Normale	Chemins de fer	a	Intensive	12	12	12	12	1
New Brunswick	Railways	Modified	Intensive	1990	1990	Nouveau-Brunswick	n	NB	Modulee	Chemins de fer	n	Intensive					1
New Brunswick	Railways	None	Intensive	1990	1990	Nouveau-Brunswick	n	NB	Aucune	Chemins de fer	n	Intensive					1
New Brunswick	Other industry	Full	Intensive	1990	1990	Nouveau-Brunswick	a	NB	Normale	Autres industrielles	a	Intensive	9	9	9	9	1
New Brunswick	Other industry	Modified	Intensive	1990	1990	Nouveau-Brunswick	n	NB	Modulee	Autres industrielles	n	Intensive					1
New Brunswick	Other industry	None	Intensive	1990	1990	Nouveau-Brunswick	n	NB	Aucune	Autres industrielles	n	Intensive					1
New Brunswick	Incendiary	Full	Intensive	1990	1990	Nouveau-Brunswick	a	NB	Normale	Incendiaires	a	Intensive	29	29	29	29	1
New Brunswick	Incendiary	Modified	Intensive	1990	1990	Nouveau-Brunswick	n	NB	Modulee	Incendiaires	n	Intensive					1
New Brunswick	Incendiary	None	Intensive	1990	1990	Nouveau-Brunswick	n	NB	Aucune	Incendiaires	n	Intensive					1
New Brunswick	Miscellaneous known causes	Full	Intensive	1990	1990	Nouveau-Brunswick	a	NB	Normale	Causes diverses connues	a	Intensive	120	120	120	120	1
New Brunswick	Miscellaneous known causes	Modified	Intensive	1990	1990	Nouveau-Brunswick	n	NB	Modulee	Causes diverses connues	n	Intensive					1
New Brunswick	Miscellaneous known causes	None	Intensive	1990	1990	Nouveau-Brunswick	n	NB	Aucune	Causes diverses connues	n	Intensive					1
New Brunswick	Lightning	Full	Intensive	1990	1990	Nouveau-Brunswick	a	NB	Normale	Foudre	a	Intensive	29	29	29	29	1
New Brunswick	Lightning	Modified	Intensive	1990	1990	Nouveau-Brunswick	n	NB	Modulee	Foudre	n	Intensive					1
New Brunswick	Lightning	None	Intensive	1990	1990	Nouveau-Brunswick	n	NB	Aucune	Foudre	n	Intensive					1
New Brunswick	Unspecified	Full	Intensive	1990	1990	Nouveau-Brunswick	a	NB	Normale	Indeterminee	a	Intensive	30	30	30	30	1
New Brunswick	Unspecified	Modified	Intensive	1990	1990	Nouveau-Brunswick	n	NB	Modulee	Indeterminee	n	Intensive					1
New Brunswick	Unspecified	None	Intensive	1990	1990	Nouveau-Brunswick	n	NB	Aucune	Indeterminee	n	Intensive					1
Quebec	Recreation	Full	Intensive	1990	1990	Quebec	a	QC	Normale	Recreation	a	Intensive	213	213	213	213	1
