# Age        Mg/Ca        SST     SSTadj.
3492        3.64       28.3       31.0
3504        3.84       28.9       31.6
3516        3.80       28.8       31.5
3528        3.54       28.0       30.7
3540        3.50       27.9       30.7
3552        3.23       27.0       29.8
3564        3.58       28.1       31.0
3576        3.30       27.2       30.1
3588        3.65       28.4       31.3
3600        3.93       29.2       32.1
3612        3.97       29.3       32.2
3624        4.23       30.0       33.0
3636        4.04       29.5       32.5
3648        3.40       27.6       30.6
3660        2.95       26.0       29.0
3672        3.55       28.0       31.1
3684        3.98       29.3       32.4
3696        3.92       29.1       32.3
3708        3.30       27.2       30.4
3720        3.71       28.5       31.7
3732        4.00       29.4       32.6
3744        3.73       28.6       31.9
3756        4.20       29.9       33.2
3768        3.80       28.8       32.1
3780        3.38       27.5       30.8
3792        3.63       28.3       31.6
3804        3.42       27.6       31.0
3816        3.64       28.3       31.7
3828        3.50       27.9       31.2
3840        3.50       27.9       31.3
3852        3.49       27.8       31.2
3864        3.42       27.6       31.0
3876        3.41       27.6       31.0
3888        3.75       28.6       32.1
3900        3.53       28.0       31.4
3912        3.48       27.8       31.3
3924        3.50       27.9       31.4
3936        3.70       28.5       32.0
3948        3.40       27.6       31.1
3960        3.49       27.8       31.4
3972        3.65       28.3       31.9
3984        3.68       28.4       32.0
3996        3.43       27.7       31.2
4008        3.30       27.2       30.8
4020        3.38       27.5       31.0
4032        3.50       27.9       31.4
4044        3.50       27.9       31.4
4056        3.33       27.3       30.8
4068        3.25       27.1       30.6
4080        3.50       27.9       31.4
4092        3.24       27.0       30.5
4104        3.10       26.5       30.0
4116        3.33       27.3       30.8
4128        3.20       26.9       30.4
4140        3.44       27.7       31.2
4152        3.51       27.9       31.4
4164        3.07       26.4       29.9
4176        3.55       28.0       31.5
4188        3.50       27.9       31.3
4200        3.30       27.2       30.7
4212        3.00       26.2       29.6
4224        3.10       26.5       30.0
4236        3.16       26.7       30.2
4248        3.28       27.1       30.6
4260        3.10       26.5       29.9
4272        3.20       26.9       30.3
4284        2.90       25.8       29.2
4296        3.10       26.5       29.9
4308        3.29       27.2       30.5
4320        3.45       27.7       31.0
4332        3.25       27.1       30.3
4344        3.16       26.7       30.0
4356        3.43       27.7       30.9
4368        3.55       28.0       31.3
4380        2.90       25.8       29.0
4392        3.10       26.5       29.7
4404        3.68       28.4       31.6
4416        3.40       27.6       30.7
4428        2.86       25.6       28.8
4440        3.05       26.3       29.4
4452        3.27       27.1       30.2
4464        3.06       26.4       29.4
4476        3.17       26.8       29.8
4488        3.56       28.1       31.1
4500        3.40       27.6       30.5
4512        2.91       25.8       28.8
4524        3.40       27.6       30.5
4536        3.55       28.0       30.9
4548        3.30       27.2       30.1
4560        3.50       27.9       30.7
4572        3.51       27.9       30.7
4584        3.59       28.2       31.0
4596        3.51       27.9       30.7
4608        3.70       28.5       31.2
4620        3.75       28.6       31.4
4632        2.90       25.8       28.5
4644        3.63       28.3       31.0
4656        3.80       28.8       31.4
4668        3.74       28.6       31.2
4680        3.80       28.8       31.4
4692        3.59       28.2       30.7
4704        3.00       26.2       28.7
4716        3.32       27.3       29.8
4728        3.40       27.6       30.0
4740        3.37       27.4       29.9
4752        3.59       28.2       30.6
4764        3.35       27.4       29.8
4776        3.60       28.2       30.6
4788        3.00       26.2       28.5
4800        3.40       27.6       29.9
4812        3.50       27.9       30.2
4824        3.43       27.7       29.9
4836        3.10       26.5       28.8
4848        3.40       27.6       29.8
4860        3.30       27.2       29.4
4872        3.38       27.5       29.7
4884        3.22       26.9       29.1
4896        3.41       27.6       29.7
4908        3.47       27.8       29.9
4920        3.32       27.3       29.4
4932        3.40       27.6       29.6
4944        3.33       27.3       29.3
4956        3.15       26.7       28.7
4968        3.27       27.1       29.1
4980        3.09       26.5       28.4
4992        3.11       26.6       28.5
5004        3.45       27.7       29.6
5016        3.55       28.0       29.9
5028        3.50       27.9       29.7
5040        3.62       28.2       30.1
5052        3.68       28.4       30.3
5064        3.66       28.4       30.2
5076        3.57       28.1       29.9
5088        3.43       27.7       29.4
5100        3.33       27.3       29.1
5112        3.45       27.7       29.5
5124        3.58       28.1       29.9
