Top Depth  KNIF2     KNIF3     KNIF2
                          (on KNIF3 depth)
       m  d18 o/oo  d18O o/oo d18O o/oo
    27.4   -10.93   -10.61    -10.98
    27.5   -10.96   -10.34    -10.38
    27.6   -11.11   -10.09    -10.23
    27.7   -11.02    -9.86     -9.70
    27.8   -11.24    -9.59    -12.19
    27.9   -11.09    -9.60    -11.35
    28.0   -10.92    -9.35    -10.30
    28.1   -10.99    -9.37     -9.83
    28.2   -10.91    -9.50    -10.43
    28.3   -10.59    -9.32    -10.83
    28.4   -10.66    -8.92     -9.31
    28.5   -10.16    -8.74     -8.19
    28.6   -10.30    -9.55     -8.04
    28.7    -9.79    -9.45     -9.63
    28.8    -9.82   -10.26    -10.68
    28.9   -10.05   -10.95    -12.07
    29.0    -9.72   -10.76    -12.29
    29.1    -9.68   -10.50    -11.75
    29.2   -10.06   -10.32    -11.20
    29.3   -10.05    -9.35    -10.99
    29.4   -10.60    -9.35    -11.00
    29.5   -11.37    -9.53    -10.97
    29.6   -11.75    -9.58    -10.77
    29.7   -12.09    -9.72    -10.17
    29.8   -13.48   -10.50     -9.80
    29.9   -11.83   -12.83    -10.87
    30.0   -10.49   -13.84    -14.43
    30.1    -9.96   -13.55    -15.15
    30.2    -9.51   -13.02    -14.43
    30.3    -9.19   -12.67    -13.22
    30.4    -9.90   -11.21    -11.74
    30.5   -10.29    -9.97    -10.63
    30.6   -10.62   -10.14    -10.29
    30.7   -10.93   -10.92    -10.71
    30.8   -11.37   -10.15    -10.21
    30.9   -12.92    -8.12     -8.90
    31.0   -15.33    -7.49     -7.94
    31.1   -13.84    -7.84     -7.45
    31.2   -13.63    -8.15     -7.96
    31.3   -13.37    -8.99     -8.95
    31.4   -13.31    -9.84    -10.67
    31.5   -13.34    -9.62    -11.68
    31.6   -13.08    -9.27    -12.02
    31.7   -12.28    -9.61    -10.91
    31.8   -10.04    -8.47     -9.58
    31.9    -9.66    -7.86     -9.28
    32.0   -11.55    -7.60     -8.98
    32.1   -12.10    -7.27     -8.13
    32.2   -10.54    -8.62     -9.50
    32.3   -10.31    -7.85     -9.62
    32.4   -10.39    -7.95    -10.19
    32.5    -7.99    -8.30     -9.44
    32.6    -7.89    -6.77
    32.7    -9.21    -6.92
    32.8    -9.95    -7.42
    32.9   -10.29    -7.43
    33.0   -11.99    -6.90
    33.1   -12.32    -8.27
    33.2   -12.22    -9.05
    33.3   -12.05    -8.90
    33.4   -11.64    -8.90
    33.5   -11.39    -9.54
    33.6   -11.34    -7.47
    33.7   -11.26    -7.13
    33.8   -11.16    -7.72
    33.9   -11.20    -8.74
    34.0   -10.50   -10.41
    34.1   -12.21   -10.23
    34.2   -11.31    -9.92
    34.3   -11.04    -9.40
    34.4   -10.52    -8.81
    34.5   -10.31    -7.56
    34.6   -10.57    -6.90
    34.7   -10.43    -6.76
    34.8    -9.14    -6.58
    34.9    -9.85    -7.03
    35.0   -11.92    -7.27
    35.1   -12.14    -7.14
    35.2   -11.58    -7.90
    35.3   -11.16    -8.11
    35.4   -10.62    -8.35
    35.5    -9.94    -8.27
    35.6    -9.81    -7.71
    35.7    -9.95    -7.44
    35.8   -10.20    -7.68
    35.9   -10.79    -7.03
    36.0   -10.88    -7.24
    36.1   -10.38    -8.25
    36.2    -9.54    -7.53
    36.3    -8.87    -7.13
    36.4    -8.10    -8.06
    36.5    -7.48    -8.11
    36.6    -8.04    -7.95
    36.7    -9.49    -8.23
    36.8    -9.73   -13.24
    36.9   -10.06   -14.02
    37.0   -11.67   -11.12
    37.1   -12.06    -9.30
    37.2   -12.32    -9.48
    37.3   -12.30    -8.53
    37.4   -11.87    -9.40
    37.5   -11.65    -9.40
    37.6   -11.28    -9.12
    37.7   -10.98    -9.05
    37.8   -10.96   -10.05
    37.9   -11.14    -9.09
    38.0   -10.91    -8.39
    38.1   -10.95    -9.35
    38.2   -11.01   -10.14
    38.3   -10.81    -9.55
    38.4   -10.55    -9.14
    38.5   -10.14    -9.33
    38.6    -9.74    -9.57
    38.7    -9.86   -10.46
    38.8   -10.63    -9.98
    38.9   -11.31   -10.01
    39.0   -14.46   -10.29
    39.1   -15.47   -10.09
    39.2   -15.09    -9.43
    39.3   -14.74    -9.33
    39.4   -14.15    -8.19
    39.5   -13.43    -8.70
    39.6   -12.68   -10.11
    39.7   -11.56    -9.89
    39.8   -10.87    -9.10
    39.9   -10.69   -10.32
    40.0   -10.27   -10.54
    40.1   -10.08    -9.77
    40.2    -9.94   -10.72
    40.3   -11.36    -8.53
    40.4   -11.41    -6.83
    40.5   -11.48    -6.74
    40.6   -11.47    -6.60
    40.7   -10.70    -7.72
    40.8   -11.00    -6.67
    40.9    -9.05    -7.16
    41.0    -8.43    -7.38
    41.1    -9.47    -7.76
    41.2    -9.43    -7.42
    41.3   -10.44    -7.15
    41.4   -10.95    -6.75
    41.5   -11.31    -6.95
    41.6   -11.61    -7.20
    41.7   -11.53    -7.81
    41.8   -10.98    -8.16
    41.9   -10.27    -7.52
    42.0    -9.95    -8.39
    42.1    -9.80    -9.00
    42.2    -9.72    -8.69
    42.3    -9.86    -8.78
    42.4    -9.99    -8.94
    42.5    -9.84    -7.12
    42.6    -9.94    -5.66
    42.7    -9.87    -7.20
    42.8    -9.88    -7.23
    42.9    -9.61    -7.60
    43.0    -9.01    -6.69
    43.1    -8.86    -7.64
    43.2    -9.12    -8.51
    43.3    -8.81    -8.69
    43.4    -7.12    -7.82
    43.5    -6.78    -7.08
    43.6    -7.56    -7.18
    43.7    -7.77    -6.97
    43.8    -8.29    -8.37
    43.9    -8.46    -7.77
    44.0    -7.75    -8.17
    44.1    -7.49    -6.69
    44.2    -7.64    -6.39
    44.3    -7.34    -7.32
    44.4    -7.29    -9.04
    44.5    -7.44    -7.54
    44.6    -7.31    -8.71
    44.7    -7.50    -8.94
    44.8    -8.79    -8.56
    44.9    -8.29    -8.46
    45.0    -7.95    -8.84
    45.1    -8.06    -8.89
    45.2   -10.19    -8.00
    45.3   -10.18    -7.67
    45.4    -9.13    -7.58
    45.5    -7.53    -7.44
    45.6   -10.39    -7.97
    45.7   -10.76    -8.48
    45.8   -11.44    -8.51
    45.9   -11.46    -8.54
    46.0   -11.95    -8.11
    46.1   -11.64    -7.92
    46.2   -12.07    -7.48
    46.3   -12.01    -7.55
    46.4   -12.05    -7.64
    46.5   -11.73    -8.27
    46.6   -11.14    -7.49
    46.7    -9.88    -7.94
    46.8    -9.26    -7.25
    46.9    -9.59    -7.54
    47.0    -9.89    -7.26
    47.1    -9.49    -6.61
    47.2    -9.44    -7.64
    47.3    -9.08    -7.70
    47.4    -8.80    -6.84
    47.5    -8.99    -6.94
    47.6    -8.91    -7.12
    47.7    -9.43    -8.03
    47.8    -7.40    -9.03
    47.9    -7.85    -8.93
    48.0    -8.24    -9.00
    48.1    -9.03    -9.13
    48.2    -9.87    -9.50
    48.3   -10.27   -10.07
    48.4   -10.25   -10.85
    48.5   -10.38   -11.67
    48.6    -9.81   -12.28
    48.7    -9.84   -10.90
    48.8   -10.13   -10.44
    48.9    -8.85   -10.93
    49.3   -10.65
    49.4   -10.73
    49.5   -11.11
    49.6    -9.96
    49.7    -9.35
    49.8    -9.13
    49.9    -8.93
    50.0    -9.56
    50.1    -9.38
    50.2    -9.34
    50.3    -9.33
    50.4    -9.65
    50.5    -9.04
    50.6    -9.53
    50.7   -10.50




Data from Fig. 3.  
The decadal averages of d18O from five cores 
drilled to bedrock.


Top Age     KSIF1    KSIF2    KNIF2    KNIF3    FURT
kyr BP1950                  d18O o/oo
    0.00    -7.52    -8.04    -9.60    -9.07
    0.01    -7.57    -7.51    -9.29    -9.92
    0.02    -7.83    -7.71    -9.06    -9.78	
    0.03    -7.48    -7.91    -9.03    -8.98    -8.51
    0.04    -8.05    -7.62    -9.70    -9.45    -9.14
    0.05    -7.62    -8.24   -10.42   -10.41    -9.49
    0.06    -7.70    -7.74   -10.02   -10.27    -9.43
    0.07    -8.15    -7.50    -9.17    -9.47    -8.85
    0.08   -10.38    -9.76   -10.35    -9.80    -9.17
    0.09    -8.53    -8.52    -9.34    -8.21    -8.86
    0.10    -8.27    -8.36    -8.68    -7.49    -8.93
    0.11    -9.40    -7.50    -8.42    -8.01    -8.35
    0.12    -8.91    -8.29    -9.75    -7.44    -8.31
    0.13    -8.34    -8.19   -10.99    -7.68    -8.29
    0.14    -9.09    -8.13   -10.68    -7.57    -7.99
    0.15    -8.23    -7.78   -10.62    -7.81    -7.92
    0.16    -9.00    -8.17   -10.86    -9.07    -9.16
    0.17   -10.22   -10.99   -12.94   -11.06   -10.41
    0.18   -11.59   -11.50   -12.92    -8.73   -10.17
    0.19   -11.27   -11.47   -12.62    -8.83   -10.21
    0.20   -11.86   -11.62   -13.29    -9.77   -11.00
    0.21   -11.93   -10.31   -13.47    -9.71   -10.85
    0.22    -7.19    -7.80   -11.73    -8.54   -10.56
    0.23    -7.97    -7.75   -10.81    -8.74    -9.57
    0.24    -7.93    -8.20    -9.85    -8.46    -8.83
    0.25    -8.77    -8.91    -8.96    -8.46    -8.54
    0.26    -8.63    -8.44    -8.81    -8.19    -8.15
    0.27    -8.40    -8.25    -9.27    -8.32    -8.55
    0.28    -9.81    -8.58   -10.31    -8.65     
    0.29    -9.30    -8.92   -11.11    -8.28
    0.30    -7.69    -7.85    -9.85    -8.06
    0.31    -7.21    -7.38    -9.01    -7.77
    0.32    -6.66    -8.01    -8.39    -7.44
    0.33    -7.64    -9.39    -7.93    -7.61
    0.34   -10.60    -9.90    -8.06    -7.98
    0.35    -7.15    -8.84    -7.71    -8.29
    0.36    -8.35    -8.23    -9.11    -9.69
    0.37    -8.79    -8.53    -9.38   -10.13
    0.38    -8.66    -8.12    -9.15    -9.76
    0.39    -7.98    -7.13    -9.05    -9.76
    0.40    -8.28    -7.22    -8.32    -9.04
    0.41    -7.86    -7.06    -8.34    -7.90
    0.42    -7.42    -6.73    -8.49    -8.25
    0.43    -7.62    -7.46    -8.40    -8.45
    0.44    -7.45    -8.15    -8.61    -8.70
    0.45    -8.08    -8.63    -8.74    -8.82
    0.46    -8.19    -8.88    -9.10    -9.36
    0.47    -7.31    -7.61    -9.13    -9.42
    0.48    -7.49    -7.10    -9.10    -9.86
    0.49    -7.33    -7.79    -9.37   -10.38
    0.50    -8.94    -8.84   -11.16   -10.45
    0.51    -9.64   -10.93   -11.75   -10.25
    0.52    -9.05   -11.07   -11.34   -10.09
    0.53    -7.64    -8.88    -9.44   -10.00
    0.54    -7.42    -6.79    -9.29    -9.88
    0.55    -7.79    -7.27    -9.05    -9.08
    0.56    -8.36    -8.36    -9.46    -9.34
    0.57   -10.27    -9.33   -11.16   -10.96
    0.58   -11.97   -10.13   -13.02   -11.72
    0.59   -11.06   -11.39   -13.91   -11.74
    0.60   -10.71   -11.38   -12.92   -11.36
    0.61   -10.49   -11.12   -12.14   -11.44
    0.62   -10.39   -10.74   -12.31   -11.56
    0.63   -10.73   -10.25   -11.93   -11.36
    0.64   -10.96    -9.85   -11.99   -11.05
    0.65   -10.88   -10.13   -12.57   -11.20
    0.66   -10.78    -9.94   -11.55   -11.22
    0.67    -9.45    -9.18   -10.97   -10.30
    0.68    -9.31    -9.44    -9.48    -9.69
    0.69    -9.99   -10.09    -9.10    -8.65
    0.70   -11.30    -9.68    -8.90    -8.39
    0.71   -11.71   -10.90    -9.07    -8.48
    0.72   -10.41   -10.83    -9.71    -9.20
    0.73    -9.64    -9.52    -9.64    -9.69
    0.74   -10.41   -11.00    -9.98    -9.79
    0.75   -11.11   -11.03   -10.74    -9.76
    0.76   -10.79   -10.35    -9.98    -9.91
    0.77   -10.56   -10.73    -9.69    -9.92
    0.78   -10.42    -9.37    -9.85    -9.86
    0.79    -8.31    -7.63    -9.79   -10.04
    0.80    -8.31    -7.85   -10.08   -10.12
    0.81    -9.30    -9.01   -10.49    -9.94
    0.82    -9.40    -9.70   -10.46    -9.98
    0.83   -10.18    -9.32   -10.44   -10.08
    0.84    -8.51    -7.84    -9.95    -9.53
    0.85    -6.90    -6.81    -7.16    -8.64
    0.86    -7.49    -7.57    -7.40    -7.04
    0.87    -6.68    -6.94    -7.86    -7.82
    0.88    -7.95    -8.88    -8.50    -7.75
    0.89    -8.87    -9.99    -9.20    -8.74
    0.90    -9.88   -10.16    -9.59    -9.32
    0.91   -10.52    -9.93    -9.66    -9.40
    0.92   -10.09             -9.70    -9.44
    0.93    -8.23             -9.75    -9.45
    0.94    -8.65             -9.62    -9.31
    0.95    -8.98     GAP     -9.42    -9.28
    0.96    -7.58             -9.24    -9.15
    0.97   -10.74             -9.87    -9.25
    0.98   -11.77             -9.41    -9.24
    0.99    -9.03             -9.28    -9.13
    1.00    -7.39    -7.78    -9.50    -9.07
    1.01    -7.67    -7.23    -9.07    -9.75
    1.02    -7.60    -9.11   -10.91   -10.87
    1.03    -9.21   -10.30   -11.08   -10.55
    1.04    -8.90    -9.73   -11.47   -10.30
    1.05    -9.40   -10.22   -11.78   -10.63
    1.06    -9.92   -12.23   -12.05   -10.53
    1.07   -10.88   -11.93   -12.43   -11.16
    1.08   -11.10   -11.25   -11.88   -10.69
    1.09   -11.33   -11.46   -11.55   -10.46
    1.10   -11.60   -11.01   -11.09   -10.30
    1.11   -10.88   -10.38   -10.76   -10.07
    1.12    -9.28    -9.13   -10.72   -10.20
    1.13    -7.47    -6.92   -10.04   -10.00
    1.14    -8.95    -9.11   -10.23    -9.74
    1.15    -9.41    -9.76   -11.18   -10.59
    1.16    -9.86    -8.38   -11.15   -10.26
    1.17    -9.99    -8.45   -11.07   -10.13
    1.18    -9.14    -8.27   -10.77   -10.24
    1.19    -9.05    -8.31   -10.78   -10.13
    1.20    -8.36    -8.47   -11.00    -9.94
    1.21    -7.21    -8.53   -10.48    -9.67
    1.22    -6.69    -7.48   -10.55   -10.22
    1.23    -7.23    -7.27    -8.51    -9.65
    1.24    -5.79    -6.82    -8.60    -8.30
    1.25    -6.70    -7.53    -8.53   -10.51
    1.26    -7.94    -8.70   -11.67   -11.11
    1.27    -9.00    -9.54   -11.77   -10.94
    1.28             -9.11   -10.46    -9.99
    1.29             -7.60   -10.23    -9.03
    1.30             -7.10    -8.89    -8.65
    1.31             -7.02    -8.59    -8.89
    1.32             -7.47    -8.34    -8.79
    1.33             -7.48    -8.20    -9.10
