#Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2008,69.07,54.62,17.12,10.12,14.95,36.30,33.37,25.65,38.01,24.20,72.53,55.19
2009,25.86,41.52,18.17,38.81,28.42,49.23,23.43,15.50,31.48,30.81,35.10,69.64
2010,40.04,102.64,96.52,31.32,37.54,21.38,58.57,56.68,64.47,87.95,98.66,116.45
2011,75.80,82.38,68.75,24.68,28.42,17.13,24.17,34.58,39.23,38.40,86.06,81.51
2012,84.91,86.31,94.14,14.59,26.76,36.87,44.54,17.71,17.57,15.55,27.85,32.90
2013,38.61,38.35,46.37,8.46,32.26,57.41,35.06,19.89,27.45,15.26,27.28,22.19
2014,21.19,51.14,67.61,40.04,24.05,40.40,17.99,32.48,24.34,12.80,21.53,63.82
2015,72.55,19.82,16.54,50.92,33.23,47.13,37.65,30.82,11.89,20.75,52.24,35.66
2016,72.84,18.73,23.25,14.15,57.53,89.04,47.55,56.00,126.53,41.61,24.24,49.04
2017,39.33,16.99,59.61,30.58,27.61,10.93,19.57,28.05,7.25,57.81,42.47,62.10
2018,22.79,29.84,23.19,9.54,14.15,24.22,12.95,22.74,10.18,37.95,45.19,37.93
2019,17.00,13.01,43.98,20.88,33.78,19.66,17.70,11.20,11.36,9.76,25.35,6.17
2020,38.49,81.27,62.59,66.08,21.65,22.76,27.15,43.19,31.57,56.66,16.01,51.20
2021,60.09,50.17,96.76,6.81,20.61,56.30,47.56,22.84,43.06,35.72,124.84,45.12
2022,77.07,41.22,49.70,56.29,71.65,21.82,27.91,60.65,81.08,143.01,71.87,28.22
2023,46.65,13.53,46.88,29.05,17.54,46.67,24.56,15.54,5.55,23.00,78.04,52.77
#2024,93.59,37.16,36.37,44.51,43.80,30.35,37.72,25.93,19.05,28.87,64.30,
