% Antarctica 2K 2017 isotope anomalies
Units
% weighting method : based on the correlation between site T and regional T from NB2014 forced by ERA-Interim
% smoothing : 10-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica: WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
1095	-0.0818	0.4894	-0.3054	-0.1194	-0.1799	0.711	      NaN	-0.1306	-0.0129	-0.0229
1105	0.4307	-0.2884	0.4696	-0.0888	0.5561	-0.5385	      NaN	0.159	0.1236	0.1992
1115	-0.1714	0.1552	0.0286	-0.1801	0.5104	0.992	      NaN	0.2438	-0.1249	0.0641
1125	0.705	-0.1285	0.3836	0.2037	0.278	-0.118	      NaN	0.1721	0.2084	0.208
1135	1.2142	0.2318	0.2976	-0.1288	-0.0674	-0.176	      NaN	-0.1896	0.4368	0.2973
1145	1.1677	0.3941	1.2211	0.1387	-0.4839	0.5093	      NaN	-0.6397	0.7972	0.5306
1155	0.3199	0.1268	-1.4924	-0.7601	0.2325	1.2461	      NaN	-0.1043	0.3047	0.3024
1165	0.068	-0.0369	0.5096	-0.2176	-0.2225	0.329	      NaN	-0.3364	-0.1289	-0.1285
1175	0.6205	0.1973	-0.3784	-0.1188	0.1665	-0.1594	      NaN	-0.009	0.203	0.1684
1185	0.1267	0.2767	-0.0934	-0.4026	0.2949	-0.3524	      NaN	0.0668	0.4561	0.3791
1195	-0.5493	-0.1533	0.0256	-0.7563	0.2406	-0.8513	      NaN	-0.2349	-0.3789	-0.247
1205	-0.4826	0.3	1.2206	-0.4688	0.8027	-1.2927	      NaN	0.3066	-0.3484	-0.1119
1215	-0.4631	0.4273	-1.2834	-0.3113	0.6084	-0.1435	      NaN	0.3396	-0.3891	-0.2324
1225	-0.8895	0.0636	-0.4204	-0.2238	0.2795	-0.1682	      NaN	0.0643	-0.5588	-0.3159
1235	-0.4213	0.278	0.3666	-0.3926	0.192	0.0629	      NaN	-0.0212	-0.1068	-0.0048
1245	-0.5421	0.3434	1.5886	-0.1701	0.6329	0.5927	      NaN	0.2922	-0.1751	0.0418
1255	-0.3873	0.0705	0.5476	0.4184	0.406	-0.3249	      NaN	0.3291	-0.3574	-0.1557
1265	-0.3632	-0.0924	0.2426	-0.1927	0.1284	0.8715	      NaN	-0.0419	-0.1206	0.0306
