% Antarctica 2K 2017 temperature reconstruction
% weighting method : based on the correlation between site T and regional T from NB2014 forced by ERA-Interim
% Temperature scaling method : based on the correlation between annual mean regional d18O and regional T from ECHAM-wiso forced by ERA-Interim
% smoothing : 10-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica: WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
1065	-0.3634	0.1136	-0.303	-1.9017	0.9571	-0.065	      NaN	0.2656	-0.2343	0.0091
1075	-0.0269	0.8611	0.6297	-0.3439	0.463	-0.6094	      NaN	0.1541	0.1057	0.1719
1085	-0.7972	0.7156	-0.4155	0.0561	0.5601	-0.0132	      NaN	0.1761	-0.502	-0.2202
1095	-0.0778	0.9332	-0.307	-0.2986	-0.1871	0.5887	      NaN	-0.1341	-0.0129	-0.0234
1105	0.4096	-0.5499	0.4719	-0.222	0.5784	-0.4458	      NaN	0.1633	0.1236	0.2038
1115	-0.163	0.2959	0.0287	-0.4502	0.5308	0.8214	      NaN	0.2503	-0.1249	0.0655
1125	0.6705	-0.245	0.3855	0.5092	0.2891	-0.0977	      NaN	0.1768	0.2084	0.2128
1135	1.1548	0.442	0.299	-0.322	-0.0701	-0.1457	      NaN	-0.1947	0.4368	0.3042
1145	1.1105	0.7516	1.2272	0.3467	-0.5033	0.4217	      NaN	-0.6569	0.7972	0.5428
1155	0.3043	0.2417	-1.4999	-1.9002	0.2418	1.0318	      NaN	-0.1071	0.3047	0.3093
1165	0.0647	-0.0703	0.5121	-0.5439	-0.2314	0.2724	      NaN	-0.3454	-0.1289	-0.1315
1175	0.59	0.3762	-0.3803	-0.297	0.1732	-0.132	      NaN	-0.0093	0.203	0.1722
1185	0.1205	0.5277	-0.0939	-1.0064	0.3067	-0.2918	      NaN	0.0686	0.4561	0.3878
1195	-0.5224	-0.2924	0.0257	-1.8908	0.2503	-0.7049	      NaN	-0.2413	-0.3789	-0.2527
1205	-0.459	0.5721	1.2267	-1.172	0.8349	-1.0704	      NaN	0.3149	-0.3484	-0.1145
1215	-0.4404	0.8148	-1.2899	-0.7783	0.6327	-0.1188	      NaN	0.3487	-0.3891	-0.2378
1225	-0.8459	0.1212	-0.4225	-0.5595	0.2907	-0.1393	      NaN	0.066	-0.5588	-0.3232
1235	-0.4007	0.5302	0.3684	-0.9814	0.1997	0.0521	      NaN	-0.0217	-0.1068	-0.0049
1245	-0.5155	0.6549	1.5965	-0.4252	0.6582	0.4908	      NaN	0.3001	-0.1751	0.0428
1255	-0.3683	0.1344	0.5503	1.0461	0.4222	-0.269	      NaN	0.338	-0.3574	-0.1593
1265	-0.3454	-0.1761	0.2438	-0.4817	0.1335	0.7216	      NaN	-0.0431	-0.1206	0.0313
1275	-0.3631	-0.432	1.0568	1.182	-0.1539	1.3866	      NaN	0.015	-0.2775	-0.1927
1285	-0.6885	-0.1733	0.4237	-1.8817	0.2354	-0.1501	      NaN	-0.2617	-0.3885	-0.1958
1295	-0.1474	-0.1327	0.4518	0.632	-0.464	-2.5485	      NaN	-0.3305	-0.0583	-0.1282
1305	-0.2057	0.6777	0.2307	-1.2222	0.614	-1.8467	      NaN	0.2039	-0.1069	0.0296
1315	0.4001	0.7963	0.087	0.4437	0.4471	-1.3863	      NaN	0.2391	0.2896	0.3761
1325	-0.1331	0.8912	0.085	0.2083	-0.1958	-2.0306	      NaN	-0.1433	0.0767	-0.0768
1335	-0.8941	0.6987	-1.1773	-0.1756	0.3033	-2.2625	      NaN	0.0931	-0.6507	-0.4168
1345	0.1449	1.2776	1.0005	0.7728	-0.0283	-1.0935	      NaN	-0.1096	0.1155	0.038
1355	0.0332	0.8089	0.4096	-0.5142	0.3017	-0.6538	      NaN	0.2051	-0.0456	-0.0281
1365	0.2173	0.2986	0.4307	-1.1675	0.3316	-1.5883	      NaN	0.0215	0.0915	0.1204
1375	0.0189	0.3556	0.2337	-1.8974	0.0526	0.104	      NaN	-0.214	0.0372	-0.111
1385	0.5948	0.9208	1.4055	-2.2641	-0.2872	-1.0841	      NaN	-0.4693	0.4725	0.2324
1395	-0.097	0.8366	1.2729	-0.4181	-0.1505	-0.9261	      NaN	-0.3175	0.0046	-0.1878
1405	-0.1618	1.0138	0.6789	0.8236	0.9602	-0.5873	      NaN	0.6078	-0.1934	0.0524
1415	-0.813	1.0079	0.1614	-1.0995	0.0479	0.0909	      NaN	-0.1119	-0.7271	-0.5222
1425	-0.5724	-0.001	1.3623	-3.268	0.2506	-1.2378	      NaN	-0.1743	-0.4194	-0.2732
1435	-0.7456	0.8072	0.501	-1.562	0.1866	-0.5022	      NaN	-0.0782	-0.3978	-0.2484
1445	-0.2664	-0.0211	-0.0065	0.3031	0.1819	1.0951	      NaN	0.1153	-0.2647	-0.1839
1455	-0.5992	0.4154	0.0006	-2.1917	-0.7363	-1.0622	      NaN	-0.7674	-0.4646	-0.6407
1465	0.1855	0.5389	0.3322	1.7023	-0.1108	-1.5042	      NaN	-0.0941	-0.0232	-0.0131
1475	-0.8191	1.0192	0.4146	0.2206	-0.0552	0.4187	      NaN	-0.0464	-0.7438	-0.579
1485	-0.2988	0.0362	-0.9994	-0.8563	0.5867	0.0131	      NaN	0.4595	-0.5751	-0.2926
1495	-0.3453	0.1545	1.1111	-1.068	0.3784	-0.3143	      NaN	0.1383	-0.0878	0.0911
1505	-0.1141	0.3373	-0.4326	0.5121	0.0666	-1.0174	      NaN	0.0477	-0.3676	-0.3038
1515	-0.3481	0.8248	-0.1542	-1.0555	0.1055	-1.3862	      NaN	0.0274	-0.3963	-0.2863
1525	-0.3094	1.7553	0.1794	-0.3491	0.3895	-0.1102	      NaN	0.3293	-0.2426	-0.1665
1535	0.2892	0.3673	0.8277	0.3087	0.3334	0.0986	-1.1242	0.3123	0.2712	0.2014
1545	-0.4264	0.0392	0.9975	0.0803	0.0084	-1.1144	-1.1189	0.0426	-0.3977	-0.3436
1555	-0.2461	0.6127	0.1212	-1.703	0.525	-0.3783	-1.5526	0.2501	0.0396	0.2035
1565	-0.3762	0.6829	0.2558	-0.435	0.2018	-0.4534	-1.4566	0.0991	-0.1424	-0.1196
1575	-0.798	-0.2159	0.0679	-1.1948	-0.0719	-1.109	-1.9683	-0.2119	-0.5786	-0.5548
1585	0.1247	0.2435	-0.6869	-1.3522	0.0183	-1.0359	-1.048	-0.2117	-0.2442	-0.2399
1595	-0.4	0.0013	-0.3693	1.0761	-0.0275	-0.5903	-3.4491	0.0681	-0.4007	-0.3055
1605	0.1246	0.6794	0.5503	-0.2081	0.0823	0.2854	-3.4529	0.1819	0.1483	0.0853
1615	-0.4608	1.1759	-0.6577	0.7289	0.208	0.1016	-1.4806	0.1756	-0.3577	-0.2539
1625	-1.0159	0.5158	0.3302	-0.772	0.0057	-0.8517	-1.5247	-0.1296	-0.8506	-0.6817
1635	-0.422	0.0186	0.3031	-0.7687	0.4472	-0.5188	-1.0627	0.2685	-0.2304	-0.1371
1645	-0.4994	0.4604	0.5382	-0.7062	-0.0176	-0.6634	-1.2109	-0.0567	-0.5637	-0.4995
1655	-0.731	0.9692	-0.1241	0.429	0.7838	-0.1852	-2.2267	0.639	-0.6758	-0.3587
1665	-0.5846	0.1035	1.6266	-0.1824	0.2328	-0.0049	-2.9863	0.173	-0.2472	-0.2026
1675	-0.4971	0.5458	0.1473	-0.5827	-0.235	-1.0374	-1.3873	-0.3251	-0.3776	-0.29
1685	-0.5074	0.5576	-0.2728	0.6345	0.2587	-0.5749	-1.9755	0.2558	-0.3733	-0.2313
1695	-0.6899	-0.8458	-0.7019	-0.2836	0.569	-1.1974	-3.9518	0.4056	-0.673	-0.4643
1705	-0.3959	0.3085	0.3191	0.0677	0.081	-0.4648	-1.27	0.0509	-0.5263	-0.3557
1715	-0.1151	1.2351	0.097	-0.0009	-0.0691	-0.2534	-0.6073	-0.1082	-0.3903	-0.2895
1725	-0.0381	0.5887	0.9061	-0.868	0.2864	-1.0069	1.9544	0.1197	-0.1247	-0.2767
1735	-0.2562	0.2646	0.9362	0.7735	0.0683	-0.5281	-1.4048	0.1186	-0.1252	-0.1408
1745	-0.2778	0.0725	-0.1512	-0.4597	-0.7444	-0.4381	0.4214	-0.6418	-0.2239	-0.3757
1755	0.2449	0.1471	0.5804	-0.0004	-0.1577	-0.7287	-0.3467	-0.0975	0.2602	0.0535
1765	-0.5965	-0.2306	-0.0105	0.1991	0.3576	-1.2817	-0.726	0.2404	-0.3748	-0.3431
1775	-0.4756	-0.31	0.1865	0.0338	-0.0567	-0.9527	0.0997	-0.3406	-0.4506	-0.3548
1785	-0.5812	-0.787	-0.8165	-0.03	-0.1901	0.1318	-0.7117	-0.0936	-0.5863	-0.5324
1795	-0.5514	-0.3264	0.3513	0.2285	-0.1327	-0.0948	0.7098	-0.0102	-0.4914	-0.3205
1805	-0.5494	-1.0744	0.7041	-0.9153	-0.1103	-0.7671	-0.421	-0.1615	-0.4829	-0.3821
1815	-0.3293	-0.3857	1.0709	-0.0662	0.2387	-0.167	0.0406	0.0598	-0.0773	0.0595
1825	-0.4971	0.2491	-0.4949	-0.6955	0.4286	-0.8161	-0.4646	0.1771	-0.3208	-0.1229
1835	-0.3526	0.2785	0.2468	1.5404	0.7946	-0.8816	-0.3049	0.5589	-0.3559	-0.0203
1845	-0.6011	-0.6344	0.1111	-1.4963	-0.1185	-0.4108	0.1556	-0.2707	-0.6995	-0.5096
1855	-0.5458	0.55	-0.6487	-1.2517	0.4914	-0.9021	-0.2772	0.1807	-0.5434	-0.3712
1865	-0.1576	1.078	-1.3361	-1.2181	0.2749	0.262	0.8204	-0.1294	-0.2266	0.0132
1875	-0.0315	-0.0273	-1.0024	0.1734	0.195	-0.4296	-1.302	0.0811	-0.2114	-0.0814
1885	-0.2868	-0.6667	0.2609	-0.5948	0.3623	0.5629	-0.1639	0.1168	-0.1287	0.0596
1895	0.3458	-0.7037	-0.1844	-0.2999	0.1173	-0.3587	-1.1676	-0.0293	0.2033	0.1213
1905	0.0346	-0.6717	0.1583	-0.2915	-0.1452	-0.0794	0.2983	-0.1646	0.195	0.2155
1915	-0.1086	-0.8114	0.9242	-0.2909	0.0652	0.0093	-0.0178	0.0459	-0.0796	-0.0099
1925	0.916	0.1246	-0.4396	-0.7142	-0.0153	0.0765	-0.1079	-0.1243	0.5426	0.2828
1935	0.0645	-0.8547	-0.2587	-0.2885	0.1214	0.1326	-0.8157	0.0251	-0.3542	-0.1902
1945	-0.3261	0.276	0.484	-0.1751	-0.2126	-0.1056	-0.3215	-0.1645	-0.2798	-0.0945
1955	-0.3165	0.2991	-0.2788	0.068	-0.1659	0.0701	-0.2814	-0.0818	-0.1682	-0.1545
1965	-0.1673	0.2388	-0.5964	-0.291	-0.1061	0.2139	0.4892	-0.0673	-0.0442	-0.0838
1975	-0.4639	-0.0247	-0.6889	0.8507	0.1982	0.0294	0.6713	0.2391	-0.3168	-0.2232
1985	0.0392	1.4239	0.696	1.1324	0.2603	-0.277	0.5805	0.2924	0.1343	0.1886
1995	-0.1543	-0.3136	      NaN	1.2408	0.2455	-0.1489	1.1886	0.3008	0.3786	0.3581
2005	0.5284	      NaN	      NaN	2.0356	0.6656	-0.7563	1.1927	0.6695	0.1976	0.2034
