% Antarctica 2K 2017 isotope anomalies (relative to 1900-1990 reference interval)
% weighting method : unweighted, with grid reduction
% smoothing : 10-year binned averages
% columns after each regional mean composite give details of n (number of records) as well as 5%, 25%, 75% and 95% levels of composites
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau (mean; per mil, d18O equivalent)
% col 9 : Wilkes Land Coast (mean; per mil, d18O equivalent)
% col 16 : Weddell Sea Coast (mean; per mil, d18O equivalent)
% col 23 : Antarctic Peninsula (mean; per mil, d18O equivalent)
% col 30 : West Antarctic Ice Sheet (mean; per mil, d18O equivalent)
% col 37 : Victoria Land Coast (mean; per mil, d18O equivalent)
% col 44 : Dronning Maud Land Coast (mean; per mil, d18O equivalent)


Time (year AD, centre of 10y bin)	1. East Antarctic Plateau	n	5%	25%	75%	95%		2. Wilkes Land Coast	n	5%	25%	75%	95%		3. Weddell Sea Coast	n	5%	25%	75%	95%		4. Antarctic Peninsula	n	5%	25%	75%	95%		5. West Antarctic Ice Sheet	n	5%	25%	75%	95%		6. Victoria Land Coast	n	5%	25%	75%	95%		7. Dronning Maud Land Coast	n	5%	25%	75%	95%
415	0.7385	4	-0.6574	-0.3478	1.8249	1.9260		0.7066	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.1674	1	NaN	NaN	NaN	NaN		-0.279	2	-1.0839	-1.0839	0.5259	0.5259		0.0524	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
425	0.3476	5	-0.7474	-0.6442	1.0665	2.4782		0.1877	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.5119	1	NaN	NaN	NaN	NaN		-0.0394	2	-1.1421	-1.1421	1.0634	1.0634		-1.1831	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
435	0.2359	5	-1.1554	-0.7145	1.1332	2.1652		0.0908	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.3381	1	NaN	NaN	NaN	NaN		0.0583	2	-0.9294	-0.9294	1.0461	1.0461		-0.696	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
445	0.9445	5	-1.4248	-0.5163	1.6291	6.1690		0.4948	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.0513	1	NaN	NaN	NaN	NaN		-0.3094	2	-1.5709	-1.5709	0.9521	0.9521		-0.5197	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
455	0.6465	5	-0.6298	-0.3359	1.2421	3.7246		0.1412	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.1556	1	NaN	NaN	NaN	NaN		-0.0164	2	-1.4238	-1.4238	1.3909	1.3909		-0.356	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
465	0.0547	5	-1.3658	-0.8630	0.6947	2.6806		0.2563	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.7118	1	NaN	NaN	NaN	NaN		-0.1714	2	-2.1282	-2.1282	1.7854	1.7854		-0.239	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
475	0.1074	5	-0.7154	-0.6876	0.6063	1.9146		0.1213	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.8499	1	NaN	NaN	NaN	NaN		-1.2663	2	-2.9676	-2.9676	0.4350	0.4350		-0.9	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
485	-0.4652	5	-1.6193	-0.9639	0.2684	0.3954		0.5589	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.5262	1	NaN	NaN	NaN	NaN		0.037	2	-1.0450	-1.0450	1.1191	1.1191		0.78	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
495	-0.4187	5	-1.5378	-0.9255	0.1705	0.2362		0.5129	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.4962	1	NaN	NaN	NaN	NaN		0.0123	2	-1.0572	-1.0572	1.0818	1.0818		-0.066	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
505	0.2004	5	-0.6674	-0.4718	1.1011	1.4062		0.4076	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.1574	1	NaN	NaN	NaN	NaN		0.0617	2	-0.8702	-0.8702	0.9936	0.9936		0.0983	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
515	0.3231	5	-0.4754	-0.4466	1.0310	2.1394		0.1638	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.5299	1	NaN	NaN	NaN	NaN		-0.1154	2	-1.6929	-1.6929	1.4621	1.4621		      NaN	0	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
525	0.0676	5	-1.2048	-0.7163	0.5662	1.9966		-0.0442	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.3099	1	NaN	NaN	NaN	NaN		-0.14	2	-1.4481	-1.4481	1.1680	1.1680		0.456	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
535	0.3759	5	-0.4774	-0.0644	0.7136	1.8218		0.2106	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.3406	1	NaN	NaN	NaN	NaN		0.3435	2	-0.4065	-0.4065	1.0935	1.0935		      NaN	0	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
545	0.495	5	-0.0405	0.0158	0.9536	1.2292		0.6813	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.0276	1	NaN	NaN	NaN	NaN		0.4747	2	-0.5820	-0.5820	1.5314	1.5314		-0.0926	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
555	1.0448	5	0.1177	0.1849	1.9852	2.4649		0.8376	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.1081	1	NaN	NaN	NaN	NaN		-0.4036	2	-1.9381	-1.9381	1.1308	1.1308		0.414	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
