% Antarctica 2K 2017 isotope anomalies (relative to 1960-1990 reference interval)
% weighting method : unweighted, with grid reduction
% smoothing : 5-year binned averages
% columns after each regional mean composite give details of n (number of records) as well as 5%, 25%, 75% and 95% levels of composites
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau (mean; per mil, d18O equivalent)
% col 9 : Wilkes Land Coast (mean; per mil, d18O equivalent)
% col 16 : Weddell Sea Coast (mean; per mil, d18O equivalent)
% col 23 : Antarctic Peninsula (mean; per mil, d18O equivalent)
% col 30 : West Antarctic Ice Sheet (mean; per mil, d18O equivalent)
% col 37 : Victoria Land Coast (mean; per mil, d18O equivalent)
% col 44 : Dronning Maud Land Coast (mean; per mil, d18O equivalent)

Time (year AD, centre of 5y bin)	1. East Antarctic Plateau	n	5%	25%	75%	95%		2. Wilkes Land Coast	n	5%	25%	75%	95%		3. Weddell Sea Coast	n	5%	25%	75%	95%		4. Antarctic Peninsula	n	5%	25%	75%	95%		5. West Antarctic Ice Sheet	n	5%	25%	75%	95%		6. Victoria Land Coast	n	5%	25%	75%	95%		7. Dronning Maud Land Coast	n	5%	25%	75%	95%
1912.5	-0.2211	34	-1.4705	-0.9010	0.5448	0.8767		-0.5997	2	-1.1348	-1.1348	-0.0645	-0.0645		1.1330	1	NaN	NaN	NaN	NaN		-0.5932	4	-1.0399	-0.9442	-0.2421	-0.0510		-0.0292	14	-0.8549	-0.7303	0.6252	1.4077		0.1487	5	-0.2333	-0.1363	0.4322	0.5247		-0.5684	5	-0.9163	-0.9001	-0.2366	0.3831
1917.5	-0.1204	34	-1.7139	-0.6506	0.2931	1.4712		-0.8672	2	-2.0571	-2.0571	0.3226	0.3226		1.0970	1	NaN	NaN	NaN	NaN		-0.1931	4	-0.4368	-0.3057	-0.0806	-0.0407		0.2171	14	-0.3609	-0.2394	0.3346	1.2642		-0.0879	5	-0.9251	-0.6352	0.3787	0.4268		-0.5182	5	-2.1583	-1.2233	0.1869	0.4816
1922.5	0.4515	35	-1.0634	-0.4466	1.5996	2.0568		-0.1099	2	-0.2386	-0.2386	0.0188	0.0188		0.0790	1	NaN	NaN	NaN	NaN		-0.2998	4	-0.6885	-0.6038	0.0042	0.0902		0.0107	14	-1.5842	-0.0720	0.4412	0.5293		0.3662	5	0.0318	0.1473	0.5531	0.5728		-0.0887	5	-0.8483	-0.4133	0.2359	0.2696
1927.5	0.2095	35	-1.5059	-0.7058	0.6650	2.6460		-0.3502	2	-0.5941	-0.5941	-0.1064	-0.1064		-0.5630	1	NaN	NaN	NaN	NaN		-0.8114	4	-1.3210	-1.1958	-0.4270	-0.3839		-0.0883	14	-1.3236	-0.6966	0.3433	0.9714		-0.1565	5	-1.3288	-0.9469	0.5451	0.6605		-0.498	5	-0.9999	-0.8501	-0.1458	0.1327
1932.5	0.1175	36	-0.8458	-0.6378	0.6264	1.8920		-0.4267	2	-0.9749	-0.9749	0.1215	0.1215		-0.1350	1	NaN	NaN	NaN	NaN		-0.5256	4	-1.4865	-0.8607	-0.1906	-0.1553		0.0234	14	-0.9371	-0.0664	0.3196	0.4391		0.4947	5	-0.3704	-0.0713	0.9780	1.0288		-0.81	6	-1.5490	-1.1963	-0.4387	0.2741
1937.5	0.9	36	-0.4511	0.0313	1.1384	4.0509		-1.0804	2	-1.9197	-1.9197	-0.2410	-0.2410		0.0110	1	NaN	NaN	NaN	NaN		-0.0754	4	-0.3405	-0.2235	0.0727	0.1863		0.535	14	-0.6729	-0.0185	0.8463	2.2276		0.2192	5	-0.5242	-0.3904	0.8808	1.1708		-1.1902	6	-1.7023	-1.5609	-0.8117	-0.3163
1942.5	0.1759	37	-1.8536	-0.8128	1.1955	2.1311		-0.1375	2	-0.2546	-0.2546	-0.0205	-0.0205		0.2270	1	NaN	NaN	NaN	NaN		-0.0757	4	-0.3575	-0.2886	0.1373	0.3975		0.2887	14	-0.9637	-0.0997	0.7379	1.3930		-0.0482	4	-0.5139	-0.5139	0.4175	0.4175		-0.6653	6	-1.2733	-1.1875	-0.0117	0.0621
1947.5	0.3705	36	-0.8298	-0.1899	1.2793	1.7221		-0.1621	2	-0.2766	-0.2766	-0.0476	-0.0476		1.1270	1	NaN	NaN	NaN	NaN		-0.5353	4	-1.0855	-0.7800	-0.2906	-0.2094		-0.1872	14	-1.7557	-0.4623	0.3661	0.5516		-0.0701	4	-0.6427	-0.6427	0.5024	0.5024		-0.8624	6	-1.5503	-1.3076	-0.4697	-0.2819
1952.5	-0.3724	36	-1.2660	-1.0221	0.2008	0.7129		0.0283	2	-0.2705	-0.2705	0.3271	0.3271		-0.5850	1	NaN	NaN	NaN	NaN		-0.3205	4	-0.7625	-0.6853	0.0442	0.1743		-0.0026	14	-0.4159	-0.2472	0.1930	0.4633		-0.0301	4	-0.5901	-0.5901	0.5299	0.5299		-0.9912	6	-1.7563	-1.4651	-0.5639	-0.4459
1957.5	0.3663	36	-1.0752	-0.1505	1.0459	1.5665		-0.3122	2	-0.5546	-0.5546	-0.0698	-0.0698		0.4210	1	NaN	NaN	NaN	NaN		-0.1638	4	-0.5466	-0.3556	0.0279	0.1282		-0.4457	14	-1.1679	-0.7564	-0.2157	0.1039		0.6255	4	0.5915	0.5915	0.6596	0.6596		0.0346	7	-1.1763	-0.4162	0.5188	1.0716
1962.5	0.1482	38	-1.0286	-0.4835	0.3712	1.3051		-0.3205	2	-0.4017	-0.4017	-0.2394	-0.2394		-0.5210	1	NaN	NaN	NaN	NaN		-0.2444	4	-0.4916	-0.4621	-0.0268	0.2950		-0.4229	14	-1.2117	-0.5966	-0.1816	0.1914		-0.4271	4	-0.4645	-0.4645	-0.3896	-0.3896		0.1533	7	-0.8186	-0.8134	0.7963	1.1461
