 SAMPLE   DUP    START      END       MID     CHLORIDE  NITRATE   SULFATE
   ID            DEPTH     DEPTH     DEPTH      MG/L      MG/L      MG/L


FRE-100    1     22.68     22.84     22.76     0.023     <0.01     0.012
FRE-101    1     22.84     23.19     23.015    <0.01     0.012     <0.01
FRE-102    1     23.27     23.58     23.425    0.027     0.025     <0.01
FRE-103    1     23.58     23.82      23.7     <0.01     0.011     <0.01
FRE-104    1     23.82     24.05     23.935    0.028     0.032     <0.01
FRE-105    1     24.05     24.24     24.145    0.033     0.017     <0.01
FRE-106    1     24.24     24.44     24.34     0.023     0.018     <0.01
FRE-107    1     24.44     24.64     24.54     0.027     0.026     <0.01
FRE-108    1     24.64     24.865   24.7525    0.019     <0.01     <0.01
FRE-109    1     24.865    25.24    25.0525    0.027     0.026     <0.01
FRE-110    1     25.24     25.43     25.335    0.024     0.018     <0.01
FRE-111    1     25.43     25.67     25.55     0.033     0.032     <0.01
FRE-112    1     25.67      25.9     25.785    0.033     0.028     <0.01
FRE-113    1      25.9     26.26     26.08     0.022     <0.01     <0.01
FRE-114    1     26.26     26.42     26.34     0.019      0.02     0.012
FRE-115    1     26.42     26.64     26.53     0.013     <0.01     <0.01
FRE-116    1     26.64      26.9     26.77     0.014     <0.01     <0.01
FRE-117    1      26.9     27.15     27.025    0.015     0.025     <0.01
FRE-117    2      26.9     27.15     27.025    0.014     0.024     <0.01
FRE-118    1     27.15     27.33     27.24     0.013     <0.01     <0.01
FRE-119    1     27.33     27.51     27.42     0.011     <0.01     <0.01
FRE-120    1     27.51     27.72     27.615    0.016     <0.01     <0.01
FRE-121    1     27.72      27.9     27.81     0.015     <0.01     <0.01
FRE-122    1      27.9      28.1       28      0.018     <0.01     <0.01
FRE-123    1      28.1     28.26     28.18     0.016     <0.01     <0.01
FRE-124    1     28.26     28.44     28.35     0.016     <0.01     <0.01
FRE-125    1     28.44     28.69     28.565    0.017     <0.01     <0.01
FRE-126    1     28.69     28.885   28.7875    0.022     <0.01     <0.01
FRE-127    1     28.885    29.06    28.9725    0.028     <0.01     <0.01
FRE-128    1     29.06     29.23     29.145    0.028     <0.01     <0.01
FRE-128    2     29.06     29.23     29.145    0.029     <0.01     <0.01
FRE-129    1     29.23     29.41     29.32     0.026     <0.01     <0.01
FRE-130    1     29.41     29.595   29.5025    0.027     <0.01     <0.01
FRE-131    1     29.595    29.775    29.685    0.022     <0.01     <0.01
FRE-132    1     29.775    29.99    29.8825    0.019     <0.01     0.012
FRE-133    1     29.99      30.2     30.095     0.01     <0.01     <0.01
FRE-134    1      30.2     30.38     30.29     <0.01     <0.01     <0.01
FRE-135    1     30.38     30.63     30.505    0.014     <0.01     <0.01
FRE-136    1     30.63     30.79     30.71      0.01     <0.01     <0.01
FRE-137    1     30.79     31.11     30.95     0.023     <0.01     <0.01
FRE-138    1     31.11     31.295   31.2025     0.01     <0.01     <0.01
FRE-139    1     31.295    31.46    31.3775    0.022     <0.01     <0.01
FRE-140    1     31.46     31.685   31.5725    0.026     <0.01     <0.01
FRE-141    1     31.685    31.955    31.82     0.022     <0.01     <0.01
FRE-142    1     31.955    32.28    32.1175    0.024     0.024     <0.01
FRE-143    1     32.28     32.455   32.3675    0.015     <0.01     <0.01
FRE-144    1     32.455    32.62    32.5375    0.014     0.029     <0.01
FRE-145    1     32.62     32.86     32.74     0.014     <0.01     <0.01
FRE-146    1     32.86     33.095   32.9775    0.013     <0.01     <0.01
FRE-147    1     33.095     33.3    33.1975    0.019     <0.01     0.019
FRE-148    1      33.3     33.57     33.435    0.014     <0.01      0.01
FRE-149    1     33.57     33.815   33.6925    0.011     <0.01     <0.01
FRE-150    1     33.815    34.05    33.9325     0.01     <0.01     0.014
FRE-151    1     34.05     34.245   34.1475     0.01     <0.01     <0.01
FRE-152    1     34.245    34.535    34.39     0.054     0.028     <0.01
FRE-153    1     34.535    34.69    34.6125    0.027     0.025     <0.01
FRE-154    1     34.69     34.84     34.765    0.043     0.034     0.014
FRE-155    1     34.84     35.07     34.955    0.091     0.057      0.02
FRE-156    1     35.07     35.275   35.1725    0.072     0.039     <0.01
FRE-157    1     35.275    35.495    35.385    0.081     0.026     0.011
FRE-158    1     35.495    35.72    35.6075    0.091     0.048     0.023
FRE-159    1     35.72     35.96     35.84     0.095     0.016     0.017
FRE-160    1     35.96     36.13     36.045    0.063     0.041      0.02
FRE-161    1     36.13     36.325   36.2275    0.041     0.031     <0.01
FRE-162    1     36.325    36.52    36.4225    0.026     <0.01     <0.01
FRE-163    1     36.52     36.715   36.6175    0.022     0.011     <0.01
FRE-163    2     36.52     36.715   36.6175    0.023     <0.01     <0.01
FRE-164    1     36.715    36.95    36.8325    0.021     0.013     <0.01
FRE-165    1     36.95     37.16     37.055    0.022     0.014     <0.01
FRE-166    1     37.16     37.39     37.275    0.031     <0.01     <0.01
FRE-167    1     37.39     37.71     37.55     0.026     0.021     <0.01
FRE-168    1     37.71     37.96     37.835    0.014     0.022     <0.01
FRE-168    2     37.71     37.96     37.835    0.012     <0.01     <0.01
FRE-169    1     37.96     38.155   38.0575    0.083     <0.01     <0.01
FRE-170    1     38.155    38.37    38.2625    0.018     <0.01     <0.01
FRE-171    1     38.37     38.57     38.47     0.019     0.014     <0.01
FRE-171    2     38.37     38.57     38.47     <0.01     0.022     <0.01
FRE-172    1     38.57     38.78     38.675    0.024     0.028     <0.01
FRE-173    1     38.78     39.025   38.9025    0.039     0.028     <0.01
FRE-174    1     39.025    39.21    39.1175     0.05     <0.01     <0.01
FRE-175    1     39.21      39.4     39.305    0.037     0.021     <0.01
FRE-176    1      39.4     39.58     39.49     0.036     0.023     <0.01
FRE-177    1     39.58     39.775   39.6775    0.026      0.03     <0.01
FRE-178    1     39.775    39.97    39.8725     0.02     0.022     <0.01
FRE-179    1     39.97     40.165   40.0675    0.015     0.019     <0.01
FRE-180    1     40.165    40.39    40.2775    0.018     0.018     <0.01
FRE-181    1     40.39     40.57     40.48     0.017     0.033     <0.01
FRE-182    1     40.575    40.775    40.675     0.04     0.022     0.025
FRE-183    1     40.775    40.98    40.8775    0.021      0.02     <0.01
FRE-184    1     40.98     41.26     41.12      0.02     0.021     0.069
FRE-185    1     41.26     41.52     41.39     0.017     0.022     <0.01
FRE-186    1     41.52     41.76     41.64     0.015     0.016     <0.01
FRE-187    1     41.76     41.93     41.845    0.027     0.019     <0.01
FRE-188    1     41.93     42.13     42.03     0.014     <0.01     <0.01
FRE-189    1     42.13     42.315   42.2225    0.012     <0.01     <0.01
FRE-190    1     42.315    42.53    42.4225    0.011      0.02     <0.01
FRE-191    1     42.53     42.74     42.635    0.011     0.015     <0.01
FRE-192    1     42.74     42.97     42.855    0.014     0.038     <0.01
FRE-193    1     42.97     43.14     43.055    0.015     <0.01     <0.01
FRE-194    1     43.14     43.325   43.2325    0.012     <0.01     <0.01
FRE-195    1     43.325    43.54    43.4325    0.016     0.022     <0.01
FRE-196    1     43.54     43.75     43.645    0.015     <0.01     <0.01
FRE-197    1     43.75     43.99     43.87     0.017     0.016     <0.01
FRE-198    1     43.99     44.14     44.065    0.037     0.067     <0.01
FRE-199    1     44.14     44.355   44.2475    0.017     <0.01     <0.01
FRE-200    1     44.355    44.575    44.465    0.021     0.022     <0.01
FRE-201    1     44.575    44.795    44.685    0.014     0.026     <0.01
FRE-202    1     44.795    44.99    44.8925    0.025     0.045     <0.01
FRE-203    1     44.99     45.18     45.085    0.024     0.051     <0.01
FRE-203    2     44.99     45.18     45.085    0.023     0.053     <0.01
FRE-204    1     45.18     45.525   45.3525    0.011     0.013     <0.01
FRE-205    1     45.525    45.785    45.655    0.012     0.014     <0.01
FRE-206    1     45.785    45.97    45.8775    0.011     <0.01     <0.01
FRE-207    1     45.97     46.15     46.06     0.011     0.016     <0.01
FRE-208    1     46.15     46.35     46.25     0.012     0.011     <0.01
FRE-209    1     46.35     46.605   46.4775    <0.01     <0.01     <0.01
FRE-210    1     46.605    46.84    46.7225    <0.01     <0.01     <0.01
FRE-211    1     46.84     47.03     46.935    <0.01     <0.01     <0.01
FRE-212    1     47.03     47.195   47.1125    <0.01     0.019     <0.01
FRE-213    1     47.195    47.36    47.2775    0.011     0.026     <0.01
FRE-214    1     47.36     47.535   47.4475    <0.01     0.028     <0.01
FRE-215    1     47.535    47.705    47.62     0.015     <0.01     <0.01
FRE-216    1     47.705    47.89    47.7975    0.016     <0.01     <0.01
FRE-217    1     47.89     48.08     47.985    0.019     0.015     <0.01
FRE-218    1     48.08     48.33     48.205    0.019     <0.01     <0.01
FRE-219    1     48.33     48.57     48.45     0.018     <0.01     <0.01
FRE-220    1     48.57     48.75     48.66     0.011     <0.01     <0.01
FRE-221    1     48.75     48.93     48.84     0.015     <0.01     <0.01
FRE-222    1     48.93     49.11     49.02     0.018     <0.01     <0.01
FRE-223    1     49.11      49.3     49.205    0.015     0.012      0.01
FRE-224    1      49.3     49.525   49.4125    0.014     <0.01     <0.01
FRE-225    1     49.525    49.76    49.6425    <0.01     <0.01     <0.01
FRE-226    1     49.76     49.98     49.87     0.014     <0.01     <0.01
FRE-227    1     49.98     50.165   50.0725    0.012     <0.01     <0.01
FRE-228    1     50.165    50.33    50.2475    0.036     0.021     <0.01
FRE-229    1     50.33     50.55     50.44     0.011     <0.01     <0.01
FRE-230    1     50.55     50.805   50.6775    0.013      0.01     <0.01
FRE-231    1      50.8     51.01     50.905    0.054     0.018     <0.01
FRE-232    1     51.01      51.2     51.105    0.017     0.025     <0.01
FRE-233    1      51.2     51.42     51.31     0.015     <0.01     <0.01
FRE-234    1     51.42     51.57     51.495    0.022     0.017     0.023
FRE-235    1     51.57     51.735   51.6525    0.015     <0.01     <0.01
FRE-236    1     51.735    51.92    51.8275    0.011      0.01     <0.01
FRE-237    1     51.92     52.115   52.0175    <0.01     0.018     <0.01
FRE-238    1     52.115    52.41    52.2625    0.012     0.014     <0.01
FRE-239    1     52.41     52.63     52.52     0.012     0.029     <0.01
FRE-239    2     52.41     52.63     52.52     0.013     <0.01     <0.01
FRE-240    1     52.63     52.795   52.7125    <0.01     <0.01     <0.01
FRE-241    1     52.795    52.985    52.89     0.015     <0.01     <0.01
FRE-242    1     52.985    53.155    53.07     0.022     <0.01     <0.01
FRE-243    1     53.155    53.365    53.26     0.019     <0.01     <0.01
FRE-244    1     53.365    53.61    53.4875    0.019     <0.01     <0.01
FRE-245    1     53.61     53.81     53.71     0.022     <0.01      0.01
FRE-246    1     53.81     53.985   53.8975    0.031     0.018     <0.01
FRE-247    1     53.985     54.2    54.0925    <0.01     <0.01     <0.01
FRE-248    1      54.2     54.42     54.31      0.01     <0.01     0.016
FRE-248    2      54.2     54.42     54.31     <0.01     <0.01     0.019
FRE-249    1     54.42     54.63     54.525    0.013     <0.01     <0.01
FRE-250    1     54.63      54.8     54.715    0.017     0.019     <0.01
FRE-251    1      54.8     55.045   54.9225    <0.01     0.036     <0.01
FRE-252    1     55.045    52.225    53.635    0.022     0.011     <0.01
FRE-253    1     55.225    55.43    55.3275    0.034     0.028     <0.01
FRE-254    1     55.43     55.655   55.5425    0.014     <0.01     <0.01
