 SAMPLE   DUP    START      END       MID     CHLORIDE  NITRATE   SULFATE
   ID            DEPTH     DEPTH     DEPTH      MG/L      MG/L      MG/L


FRE-739    1    153.305   153.495    153.4     0.045     0.054     <0.01
FRE-740    1    153.495    153.89   153.6925   0.025     <0.01     <0.01
FRE-741    1     154.8     155.01   154.905    0.217     0.034     <0.01
FRE-742    1     155.01   155.185   155.0975   0.201     0.055     <0.01
FRE-743    1    155.185    155.35   155.2675    0.16     0.054     <0.01
FRE-743    2    155.185    155.35   155.2675   0.159     0.054     <0.01
FRE-744    1     155.35   155.535   155.4425   0.147     0.017     <0.01
FRE-745    1    155.535    155.69   155.6125   0.135     0.026     <0.01
FRE-746    1     155.69    155.84   155.765    0.162      0.02     <0.01
FRE-747    1     155.84    155.96    155.9     0.139     0.017     <0.01
FRE-748    1     155.96   156.125   156.0425   0.067     0.038     <0.01
FRE-749    1    156.125    156.29   156.2075   0.148     0.056     0.012
FRE-750    1     156.29   156.435   156.3625   0.055     0.024     <0.01
FRE-751    1    156.435    156.62   156.5275   0.092      0.07     <0.01
FRE-752    1     156.62   156.775   156.6975   0.163     0.033     <0.01
FRE-753    1    156.775    156.44   156.6075   0.105     0.033     <0.01
FRE-754    1     156.44   157.155   156.7975   0.056     <0.01     <0.01
FRE-755    1    157.155    157.32   157.2375   0.032     <0.01     <0.01
FRE-756    1     157.32    157.52    157.42    0.015     <0.01     <0.01
FRE-757    1     157.52    157.73   157.625    0.016     <0.01     <0.01
FRE-758    1     157.73   157.925   157.8275   <0.01     <0.01     <0.01
FRE-759    1    157.925    158.11   158.0175   <0.01     <0.01     <0.01
FRE-760    1     158.11   158.245   158.1775   <0.01     <0.01     <0.01
FRE-761    1    158.245   158.465   158.355    0.019     <0.01     <0.01
FRE-762    1    158.465   158.665   158.565     0.02     <0.01     <0.01

