0,1,2,3,4,5
BE000006447,50.8,4.35,PRCP,1880,2023
BOM00033019,52.117,26.117,PRCP,1875,2023
CA006139520,42.3333,-82.9333,PRCP,1866,2023
CA006149625,43.1333,-80.7667,PRCP,1870,2023
CA006150689,44.15,-77.4,PRCP,1866,2023
CA007021954,45.8167,-71.9833,PRCP,1871,2023
CA007026465,45.6333,-72.1333,PRCP,1871,2023
EI000003969,53.3639,-6.3192,PRCP,1867,2023
ENE00175035,58.4194,24.4694,PRCP,1877,2023
ENE00175051,59.3981,24.6028,PRCP,1870,2023
FRE00104937,49.7253,-1.9394,PRCP,1880,2023
GM000003319,52.4639,13.3017,PRCP,1876,2023
GM000004063,49.8753,10.9217,PRCP,1879,2023
GM000004199,48.1667,11.5025,PRCP,1879,2023
GM000004204,50.9267,11.5842,PRCP,1826,2023
GM000010962,47.8017,11.0117,PRCP,1781,2023
GME00102308,51.1631,14.9531,PRCP,1880,2023
GME00102380,49.5042,11.0567,PRCP,1879,2023
GME00121138,49.0433,12.1031,PRCP,1879,2023
GME00122458,48.0242,7.8353,PRCP,1874,2023
GME00124486,54.0008,11.4358,PRCP,1865,2023
GME00125218,51.3164,12.4475,PRCP,1863,2023
GME00125806,49.9678,11.5208,PRCP,1879,2023
GME00126010,48.8556,12.9203,PRCP,1879,2023
GME00127186,48.5817,13.4167,PRCP,1879,2023
GME00127462,54.3656,13.4783,PRCP,1853,2023
GME00130726,50.6892,12.4342,PRCP,1863,2023
GMM00010761,49.0203,10.9617,PRCP,1879,2023
HR000142360,45.8167,15.9781,PRCP,1860,2023
NLE00100496,53.3667,5.2167,PRCP,1875,2023
NLE00100499,53.1831,6.6,PRCP,1846,2023
NLE00100503,52.3167,4.7,PRCP,1866,2023
NLE00100505,51.9831,6.7,PRCP,1880,2023
NLE00100506,51.6831,3.8667,PRCP,1878,2023
NLE00100510,51.1831,5.9667,PRCP,1868,2023
NLE00101991,52.25,5.6167,PRCP,1867,2023
NLE00102079,51.4831,5.6167,PRCP,1868,2023
NLM00006235,52.9331,4.75,PRCP,1850,2023
SF000104560,-34.083,21.25,PRCP,1877,2023
SF000227590,-33.617,19.467,PRCP,1880,2023
SF000236780,-33.8,19.9,PRCP,1877,2023
SF000288380,-34.017,22.383,PRCP,1877,2023
SF000414170,-33.467,18.717,PRCP,1877,2023
SF000508870,-33.283,23.5,PRCP,1877,2023
SF000570480,-33.283,26.5,PRCP,1877,2023
SF000782270,-32.783,26.633,PRCP,1877,2023
SF000981900,-32.167,25.617,PRCP,1877,2023
SF001130250,-31.917,21.517,PRCP,1878,2023
SF001485170,-31.117,26.8,PRCP,1879,2023
SF002146700,-29.667,17.9,PRCP,1878,2023
SG000061612,16.633,-14.917,PRCP,1857,2023
SW000002196,65.8269,24.1439,PRCP,1859,2023
SW000002361,62.6331,17.9331,PRCP,1858,2023
SW000002590,57.66,18.34,PRCP,1859,2023
SW000008525,58.4,15.5331,PRCP,1858,2023
SW000010537,60.6167,15.6167,PRCP,1860,2023
SWE00137494,55.38,12.82,PRCP,1880,2023
SWE00137568,55.7,13.2,PRCP,1863,2023
SWE00137620,56.33,14.15,PRCP,1878,2023
SWE00137686,56.18,14.85,PRCP,1858,2023
SWE00137832,56.69,16.35,PRCP,1858,2023
SWE00137836,56.67,12.92,PRCP,1859,2023
SWE00137876,56.83,13.95,PRCP,1879,2023
SWE00137910,56.92,18.1664,PRCP,1879,2023
SWE00137974,57.11,12.27,PRCP,1879,2023
SWE00138058,57.37,17.1,PRCP,1879,2023
SWE00138166,57.63,11.61,PRCP,1880,2023
SWE00138232,57.7667,14.1831,PRCP,1858,2023
SWE00138464,58.36,12.36,PRCP,1859,2023
SWE00138618,58.74,17.87,PRCP,1879,2023
SWE00138836,59.26,15.26,PRCP,1858,2023
SWE00139028,59.59,16.63,PRCP,1858,2023
SWE00139148,59.86,17.63,PRCP,1836,2023
SWE00139668,61.71,13.13,PRCP,1879,2023
SWE00139680,61.79,16.55,PRCP,1878,2023
SWE00139720,62.0192,14.1903,PRCP,1875,2023
SWE00140492,65.3197,21.49,PRCP,1859,2023
SWM00002080,68.4419,22.4503,PRCP,1878,2023
SWM00002485,59.35,18.05,PRCP,1859,2023
UK000056225,51.7667,-1.2667,PRCP,1827,2023
