QUELCCAYA SUMMIT CORE PARTICLE SIZES, CONDUCTIVITY, DELTA 18-O AND ACCUMULATION

REFERENCES:

Thompson, L.G., E. Mosley-Thompson, P. Grootes, and M. Pourchet. 1984. Tropical glaciers: potential for paleoclimatic reconstruction. Journal of Geophysical Research, 89 (D3), 4638-4646.

Thompson, L.G., E. Mosley-Thompson and Benjamin Morales Arnao. 1984. Major El Niño/Southern Oscillation events recorded in stratigraphy of the tropical Quelccaya Ice Cap. Science, 226 (4670), 50-52.

 Thompson, L. G., E. Mosley-Thompson, J. F. Bolzan and B. R. Koci. 1985. A 1500 year record of tropical precipitation recorded in ice cores from the Quelccaya Ice Cap, Peru. Science, 229(4717), 971-973

Thompson, L.G. and E. Mosley-Thompson. 1987. Evidence of abrupt climatic change during the last 1,500 years recorded in ice cores from the tropical Quelccaya ice cap, Peru. Abrupt Climatic Change - Evidence and Implications, NATO/NSF Workshop volume. D. Reidel Publishing Co., 99-110

Shimada, I., C.B. Schaaf, L.G. Thompson and E. Mosley-Thompson. 1991. Cultural impacts of severe droughts in the prehistoric Andes: Application of a 1,500-year ice core precipitation record. World Archaeology: Archaeology and Arid Environment, 22(3), 247-270. 

Brecher, H.H. and Thompson, L.G. 1993. Measurement of the retreat of Qori Kalis in the tropical Andes of Peru by Terrestrial Photogrammertry. Photogrammetric Engineering and Remote Sensing, 59(6), 1017-1022

Thompson, L.G., M.E. Davis and E. Mosley-Thompson. 1994. Glacial records of global climate: A 1500-year tropical ice core record of climate. Human Ecology, 22(1), 83-95.

DATA DESCRIPTION:


YEAR   0.63-0.80   >0.63     >1.59   COND     O18    ACCUM    ACCUM (STAND.
                                                      (M)     DEV FROM MEAN) 

DATA:

1826    242710.   377850.     4355.   3.28   -14.85   1.210   -0.682 
1825    417860.   664540.    23605.   3.04   -19.35   1.370   -0.208 
1824    510707.   915767.     7987.   2.67   -18.73   0.843   -1.761 
1823     93752.   189060.     4156.   2.76   -19.54   1.544    0.303 
1822    198745.   496780.     5170.   2.75   -18.61   1.127   -0.925 
1821    283147.   526393.     4347.   2.47   -17.46   1.135   -0.903 
1820    172767.   381800.     9453.   2.98   -22.22   1.576    0.396 
1819    204075.   340835.     7530.   2.78   -19.93   1.388   -0.157 
1818    287815.   557450.    22660.   3.07   -20.55   1.397   -0.129 
1817    527315.   832275.    11665.   3.01   -20.69   1.205   -0.694 
1816    334510.   576675.     5010.   2.50   -21.57   1.294   -0.433 
1815    233936.   500952.     4232.   2.93   -19.52   1.465    0.071 
1814    528820.   826913.     8240.   3.09   -19.64   1.065   -1.108 
1813    298805.   476395.     8275.   3.25   -19.68   1.361   -0.238 
1812    614580.   919444.     8204.   3.53   -18.43   1.120   -0.946 
1811    138620.   267085.     8575.   3.46   -19.18   1.252   -0.556 
1810    150347.   287633.     6487.   2.75   -20.76   1.008   -1.276 
1809    336780.   672440.    15933.   2.90   -18.95   1.099   -1.008 
1808    253605.   502690.     7205.   2.49   -19.43   1.106   -0.989 
1807    468867.   720538.     7949.   2.62   -20.35   1.908    1.374 
1806    690110.   913350.     5270.   2.60   -16.66   1.265   -0.519 
1805    367788.   619104.     5604.   2.61   -16.95   0.822   -1.822 
1804    306513.   599467.    26773.   2.81   -18.49   1.611    0.501 
1803    123600.   221567.     5880.   2.35   -20.38   1.007   -1.278 
1802    292027.   532800.     5607.   3.23   -18.52   1.542    0.296 
1801    137375.   279865.    10130.   2.93   -17.24   1.108   -0.983 
1800    410700.   595180.     7885.   3.07   -18.74   1.337   -0.308 
1799    381300.   805747.    44197.   3.03   -19.55   1.479    0.110 
1798    239213.   425887.     9680.   2.95   -20.74   1.442    0.002 
1797    314124.   607996.    15132.   2.82   -18.14   1.042   -1.176 
1796    355147.   567200.    24107.   2.92   -17.69   1.503    0.183 
1795    335900.   511515.     6735.   2.47   -17.19   1.282   -0.468 
1794    103205.   321340.    42210.   2.89   -16.02   1.105   -0.990 
1793    152465.   218840.     7090.   2.70   -16.97   1.296   -0.427 
1792    114735.   206060.     4740.   2.67   -18.24   1.210   -0.681 
1791    205772.   352536.    10740.   2.72   -19.71   1.403   -0.111 
1790    119800.   194940.     2500.   2.44   -19.81   1.317   -0.367 
1789    260407.   497107.    11680.   2.34   -18.19   1.040   -1.182 
1788    183664.   328880.     6452.   2.60   -19.40   1.330   -0.327 
1787    133980.   308853.     9973.   3.08   -19.90   1.050   -1.151 
1786    314632.   691264.    15588.   3.31   -19.57   1.536    0.278 
1785    125555.   247960.    11810.   3.26   -15.40   1.235   -0.608 
1784    508740.   878750.     7195.   3.18   -18.30   1.425   -0.048 
1783    455090.  1000520.    36915.   3.38   -19.29   1.120   -0.946 
1782    155727.   276067.     2393.   4.18   -17.74   1.174   -0.786 
1781    233770.   493680.    26675.   3.53   -19.38   1.121   -0.943 
1780     81033.   311347.    24127.   3.16   -22.18   1.126   -0.927 
1779    609707.  1261293.    36727.   2.59   -19.14   0.993   -1.321 
1778    241290.   565080.     7690.   2.63   -18.50   1.197   -0.720 
1777    204100.   530655.    17120.   2.50   -20.74   1.403   -0.113 
1776     84520.   165780.     2540.   2.59   -20.49   1.309   -0.391 
1775    436380.   658715.     4800.   2.55   -17.82   1.416   -0.075 
1774    232633.   382007.     4300.   2.80   -18.03   1.117   -0.954 
1773    429107.   741613.    10987.   3.48   -19.12   1.275   -0.488 
1772    295633.   447720.     8493.   4.58   -15.94   1.332   -0.321 
1771    193780.   488904.    18188.   2.97   -18.85   0.515   -2.729 
1770     76480.   273410.     6980.   1.25   -18.52   1.757    0.931 
1769    292533.   457987.     5247.   2.47   -21.15   0.934   -1.493 
1768     87200.   116400.     3170.   2.67   -18.01   1.147   -0.867 
1767    398170.   601180.    15160.   2.80   -15.47   1.047   -1.161 
1766    196105.   357695.     4920.   3.03   -19.23   1.577    0.400 
1765    222920.   573880.    17587.   2.46   -19.36   1.161   -0.824 
1764    506267.  1057386.    13860.   3.04   -18.37   1.166   -0.810 
1763    237935.   531025.    17335.   3.23   -18.39   1.384   -0.169 
1762    107800.   178227.     5613.   3.54   -19.62   1.389   -0.153 
1761    450690.   800825.    15820.   3.37   -18.11   1.288   -0.452 
1760    501600.   932140.    18700.   2.60   -18.95   1.077   -1.072 
1759    197660.   374205.    13200.   2.79   -19.87   1.514    0.215 
1758    228640.   392107.     9927.   2.48   -21.81   1.303   -0.407 
1757    150087.   311593.    10027.   2.63   -20.28   1.144   -0.874 
1756    348347.   719320.    19260.   2.61   -18.99   1.368   -0.217 
1755    334890.   577285.     6860.   2.69   -18.96   1.647    0.608 
1754    234193.   392167.     8740.   2.89   -19.32   1.102   -0.998 
1753    206650.   362025.    10275.   2.46   -19.11   1.549    0.318 
1752    708330.  1290810.    27315.   2.80   -18.79   1.333   -0.319 
1751    231228.   462876.    16128.   2.50   -17.85   1.672    0.680 
1750    260647.   508913.    10160.   2.63   -18.49   1.231   -0.620 
1749    287747.   452440.     5320.   2.64   -17.56   0.786   -1.930 
1748    362700.   485680.     3067.   2.60   -14.91   1.577    0.401 
1747    157047.   331867.     6187.   2.25   -19.46   1.583    0.418 
1746    162753.   266627.     4560.   2.57   -21.07   1.362   -0.234 
1745    281320.   421825.     1915.   2.56   -18.94   1.594    0.450 
1744    206904.   424916.     8448.   3.05   -19.62   1.485    0.130 
1743    198565.   336505.    12345.   2.55   -21.44   1.490    0.145 
