East Rongbuk Glacier Col Ice Core 1,000 Year Geochemical Data
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: 
East Rongbuk Glacier Col Ice Core 1,000 Year Geochemical Data

LAST UPDATE: 9/2008 (Original receipt by WDC Paleo)
CONTRIBUTORS: Susan Kaspari, Paul Mayewski, Shichang Kang and Shugui Hou
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2008-087

WDC PALEO CONTRIBUTION SERIES CITATION: 
Kaspari, S., et al. 2008.
East Rongbuk Glacier Col Ice Core 1,000 Year Geochemical Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2008-087. 
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: 
Kaspari, S., P. Mayewski, S. Kang, S. Sneed, S. Hou, R. Hooke, 
K. Kreutz, D. Introne, M. Handley, K. Maasch, D. Qin, and J. Ren. 2007.
Reduction in northward incursions of the South Asian monsoon 
since ~1400 AD inferred from a Mt. Everest ice core. 
Geophys. Res. Lett., 34, L16701, doi:10.1029/2007GL030440.

ABSTRACT:
A highly resolved Mt. Everest ice core reveals a decrease in marine 
and increase in continental air masses related to relatively high 
summer surface pressure over Mongolia, and reduction in northward 
incursions of the summer South Asian monsoon since ~1400 AD. 
Previously published proxy records from lower sites south of the
Himalayas indicate strengthening of the monsoon since this time. 
These regional differences are consistent with a south–north seesaw 
in convective activity in the Asian monsoon region, and reflect a 
southward shift in the mean summer position of the monsoon trough 
since~1400 AD. The change in monsoonal circulation at 1400 AD is 
synchronous with a reduction in solar irradiance and the onset 
of the LIA. This demonstrates a hemispheric scale circulation 
reorganization at this time, and the potential for future large 
shifts in monsoonal circulation.

GEOGRAPHIC REGION: South Asia
PERIOD OF RECORD: 997 - 1997 AD

FUNDING SOURCES: 
US National Science Foundation (ATM 0139491), US National Oceanic and
Atmospheric Administration (NOAA NA05OAR4311109), the Natural Science 
Foundation of China (90411003, 40401054) and the Chinese Academy of Sciences 
("Talents Project" and the 3rd Innovation Programs: KZCX3-SW-339/344).



DESCRIPTION:   
High resolution (5 year) Ca, Cl and dD data from the 2002 Mt. Everest 
East Rongbuk Glacier col ice core.  
 
East Rongbuk Glacier col ice core, Mt. Everest northeast ridge:
28.03°N, 86.96°E; 6518 m elev., 108m long 




DATA:

Column 1: Year AD
Column 2: Depth (m)
Column 3: Ca (ug/L)
Column 4: dD (per mil)
Column 5: Cl (ug/L)
Column 6: marine Cl

Year AD    Depth(m)   Ca(ug/L) dD(per mil)  Cl(ug/L)   Marine Cl
1387.50     102.81     153.69    -138.92      12.25       0.01
1382.50     102.92     170.72    -129.50      19.41       0.04
1377.50     103.03      87.53    -134.07       9.21       0.04
1372.50     103.14      88.69    -132.55       8.90       0.02
1367.50     103.24      86.29    -137.89       7.15       0.04
1362.50     103.34     120.83    -132.52      14.54       0.04
1357.50     103.44      94.28    -136.86       8.28       0.01
1352.50     103.54     125.24    -130.86       9.13       0.01
1347.50     103.64     117.69    -125.11      19.06       0.17
1342.50     103.73      91.99    -129.20       8.47       0.03
1337.50     103.82     104.46    -141.09       9.90       0.02
1332.50     103.91     137.11    -138.39       9.41       0.01
1327.50     104.00     108.95    -127.74      14.98       0.11
1322.50     104.09      91.63    -133.71      10.72       0.06
1317.50     104.17      83.63    -138.06      13.54       0.18
1312.50     104.25      76.42    -136.19      16.79       0.30
1307.50     104.33      77.28    -137.41     157.46       4.26
1302.50     104.41     195.42    -136.26      16.38       0.02
1297.50     104.49     107.66    -139.11       7.93       0.02
1292.50     104.57     144.50    -139.78      66.48       1.46
1287.50     104.64      74.36    -137.57      42.18       1.02
1282.50     104.72     157.85    -134.31      29.50       0.33
1277.50     104.78      98.50    -139.81       7.78       0.02
1272.50     104.86      90.10    -138.16       8.64       0.07
1267.50     104.92      68.77    -135.29       6.72       0.05
1262.50     104.99      68.75    -133.86       9.28       0.12
1257.50     105.05      69.48    -140.20       9.63       0.13
1252.50     105.12      86.94    -136.30      12.99       2.07
1247.50     105.18      73.38    -140.17     168.06       4.80
1242.50     105.24      62.49    -141.43       9.10       0.14
1237.50     105.30      90.79    -140.94      88.78       5.03
1232.50     105.36      71.76    -137.17     127.74       3.44
1227.50     105.42     184.13    -137.34      13.75       0.05
1222.50     105.48      59.41    -143.85       6.56       0.09
1217.50     105.53      57.75    -144.54       7.24       0.11
1212.50     105.59      57.20    -143.06      19.63       0.47
1207.50     105.64      77.71    -146.47      15.50       0.28
1202.50     105.69      75.70    -139.66      22.04       0.45
1197.50     105.74      65.16    -143.39      12.18       0.22
1192.50     105.79      58.35    -141.36       8.19       0.14
1187.50     105.84      82.19    -149.31      10.46       0.09
1182.50     105.89      72.09    -141.91       9.42       0.11
1177.50     105.93      76.61    -139.03      10.47       0.12
1172.50     105.98      83.62    -139.54       9.06       0.05
1167.50     106.02      81.02    -139.35      13.62       0.19
1162.50     106.07      97.98    -139.85     119.19       3.08
1157.50     106.11     131.55    -140.84     157.25       4.01
1152.50     106.15      61.99    -140.12      20.53       0.47
1147.50     106.19      69.40    -139.02      87.39       2.32
1142.50     106.23      63.21    -136.71      11.37       0.20
1137.50     106.27      67.32    -136.47      11.15       0.18
1132.50     106.31      67.42    -141.04      15.90       0.33
1127.50     106.35      73.43    -141.04       8.70       0.11
1122.50     106.38      48.51    -136.23       8.15       0.18
1117.50     106.42      64.06    -135.33      10.39       0.17
1112.50     106.46      79.17    -136.29      25.57       0.53
1107.50     106.49      48.69    -133.19       7.99       0.18
1102.50     106.53      55.40    -135.46       8.91       0.17
1097.50     106.56      59.02    -138.46      10.29       0.19
1092.50     106.59      71.21    -138.28      18.93       0.38
1087.50     106.62      79.23    -138.46     102.66       2.70
1082.50     106.66      68.46    -139.69     121.86       3.29
1077.50     106.69      66.39    -140.77      51.82       1.33
1072.50     106.72      71.04    -141.40       8.83       0.10
1067.50     106.75      53.92    -138.57       9.21       0.19
1062.50     106.78      71.27    -140.41       9.87       0.13
1057.50     106.81      57.26    -143.12       9.78       0.19
1052.50     106.83      54.85    -140.30      10.46       0.22
1047.50     106.86      67.53    -138.61      19.57       0.42
1042.50     106.89      65.03    -139.82      10.38       0.17
1037.50     106.91      71.79    -140.80      10.42       0.14
1032.50     106.94      75.61    -139.74       9.85       0.10
1027.50     106.97      74.72    -138.95      13.22       0.20
1022.50     106.99      64.04    -137.25      21.37       0.48
1017.50     107.01      70.06    -136.09      11.51       0.18
1012.50     107.04      54.88    -137.10       8.76       0.17
1007.50     107.06      49.92    -139.85       8.22       0.18
1002.50     107.08      62.43    -139.72       8.56       0.13
997.50      107.11      53.23    -136.26       8.76       0.18


