"Year";"PAGES2013method_NB_infilled_posr_Plateau Recon";"2SE";"PAGES2013method_NB_infilled_posr_Plateau Recon decadal";"2SE_decadal";"REs_fullcal";"REs_verif1";"REs_verfi2";"Mean_RE"
956;0.31964591508417;1.6936737948719;0.20590186340422;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
957;0.574003452812154;1.6936737948719;0.197171475905827;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
958;0.644526161697671;1.6936737948719;0.187417591024966;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
959;0.665356729606846;1.6936737948719;0.17819504034077;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
960;0.360510580690522;1.6936737948719;0.172839815090558;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
961;-0.0151502166791492;1.6936737948719;0.160429027134104;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
962;-0.272458796100857;1.6936737948719;0.135684224321619;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
963;-0.340477992141618;1.6936737948719;0.0979565265704813;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
964;-0.221032494944268;1.6936737948719;0.0454221405035049;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
965;0.0134748108801087;1.6936737948719;0.00746684053522264;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
966;0.195538035519626;1.6936737948719;0.00987042123257612;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
967;0.32655542468731;1.6936737948719;0.046688884604287;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
968;0.267249184186294;1.6936737948719;0.104758491473672;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
969;0.140012868937082;1.6936737948719;0.15427149378003;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
970;-0.0190424189923014;1.6936737948719;0.171880638623063;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
971;0.00888559029438561;1.6936737948719;0.162066004009239;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
972;0.0957258376162514;1.6936737948719;0.133082145463043;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
973;0.240218076552231;1.6936737948719;0.110539640543643;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
974;0.274097528119312;1.6936737948719;0.0958342754946833;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
975;0.189566259310439;1.6936737948719;0.0839980960451002;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
976;0.0973916893813849;1.6936737948719;0.066336695991188;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
977;0.0367168392253533;1.6936737948719;0.0443586427624664;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
978;0.0418241349922967;1.6936737948719;0.00666818634631254;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
979;-0.00704078155251969;1.6936737948719;-0.0526572158326642;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
980;-0.137404213488132;1.6936737948719;-0.1120094004985;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
981;-0.167728410244737;1.6936737948719;-0.163107893327247;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
982;-0.124054694670964;1.6936737948719;-0.203390110664522;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
983;-0.136686487609308;1.6936737948719;-0.236548763527886;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
984;-0.319156493670455;1.6936737948719;-0.251802865884164;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
985;-0.403955587347921;1.6936737948719;-0.250934475447501;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
986;-0.413593238906082;1.6936737948719;-0.253270209085932;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
987;-0.366105334147398;1.6936737948719;-0.25793494410036;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
988;-0.289762393641343;1.6936737948719;-0.255307438708874;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
989;-0.159581805115301;1.6936737948719;-0.227201724225994;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
990;-0.128720309121502;1.6936737948719;-0.183741442996764;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
991;-0.191085746629044;1.6936737948719;-0.130732931270434;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
992;-0.170702044815252;1.6936737948719;-0.086801305749004;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
993;-0.110411433694438;1.6936737948719;-0.0698968704093128;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
994;-0.0380993488416558;1.6936737948719;-0.0921564396823233;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
995;0.0306472249443756;1.6936737948719;-0.142908394903039;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
996;0.116491878357216;1.6936737948719;-0.197407701757743;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
997;0.0732109210669033;1.6936737948719;-0.238530835457876;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
998;-0.12071804024443;1.6936737948719;-0.270882407009098;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
999;-0.382177497845406;1.6936737948719;-0.304829689739541;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1000;-0.636239861328658;1.6936737948719;-0.342591280756531;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1001;-0.736078815176081;1.6936737948719;-0.384799196242797;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1002;-0.581933381816591;1.6936737948719;-0.416165981332254;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1003;-0.433927149206649;1.6936737948719;-0.412875488134075;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1004;-0.377572176146093;1.6936737948719;-0.384957012734753;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1005;-0.346968685225517;1.6936737948719;-0.340428193453004;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1006;-0.305587276505445;1.6936737948719;-0.285865092761359;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1007;-0.240456929827667;1.6936737948719;-0.236547040728521;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1008;-0.0878131082626431;1.6936737948719;-0.18067985323202;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
