"Year";"PAGES2013method_NB_infilled_posr_WAIS Recon";"2SE";"PAGES2013method_NB_infilled_posr_WAIS Recon decadal";"2SE_decadal";"REs_fullcal";"REs_verif1";"REs_verfi2";"Mean_RE"
633;0.642118408001832;1.89338133860228;0.786460660343022;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
634;0.317356613340171;1.89338133860228;0.850214256342731;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
635;0.769852013475756;1.89338133860228;0.900651861238206;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
636;1.21554495803479;1.89338133860228;0.864610335490022;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
637;1.20515690371517;1.89338133860228;0.834799583580249;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
638;1.47996895121931;1.89338133860228;0.869347471505059;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
639;1.22538426227851;1.89338133860228;0.965740054546531;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
640;0.559838777276093;1.89338133860228;0.975063785464521;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
641;0.381041547321272;1.89338133860228;0.928632623259247;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
642;0.551733401139593;1.89338133860228;0.892876374730607;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
643;0.98759728724993;1.89338133860228;0.854497603090546;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
644;1.28128244375489;1.89338133860228;0.824169406108411;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
645;0.863089322655662;1.89338133860228;0.825172931464475;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
646;0.751233335982047;1.89338133860228;0.841627587104743;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
647;0.847594418428762;1.89338133860228;0.847894598961419;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
648;1.09618123481871;1.89338133860228;0.808363844389827;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
649;0.922102292457151;1.89338133860228;0.76603730662985;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
650;0.569874030836734;1.89338133860228;0.761916888357188;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
651;0.54558810372395;1.89338133860228;0.80965974153631;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
652;0.614403519706355;1.89338133860228;0.850205494825461;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
653;0.592289741534011;1.89338133860228;0.857443638021324;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
654;0.858017066155123;1.89338133860228;0.826748901493868;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
655;0.821885139929038;1.89338133860228;0.836729303255689;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
656;1.22866186777327;1.89338133860228;0.864364564128753;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
657;1.25305195132027;1.89338133860228;0.880797265051014;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
658;1.16856266677734;1.89338133860228;0.953581679003408;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
659;0.615154927182589;1.89338133860228;0.98830616488107;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
660;0.669678048454941;1.89338133860228;1.02808041084665;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
661;0.821940712454591;1.89338133860228;1.03725117565205;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
662;0.778730528928967;1.89338133860228;1.10014382731137;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
663;1.32013388105795;1.89338133860228;1.22291740318803;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
664;1.20526192493174;1.89338133860228;1.42312193772453;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
665;1.21962759958481;1.89338133860228;1.53049840278606;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
666;1.32036951582733;1.89338133860228;1.5291334263226;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
667;1.88197846791347;1.89338133860228;1.53836018979714;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
668;2.39629842554394;1.89338133860228;1.52215224850089;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
669;2.61720027254756;1.89338133860228;1.56145680510689;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
670;1.7434426990702;1.89338133860228;1.60094973320256;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
671;0.808290947819998;1.89338133860228;1.61424283416008;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
672;0.870998163674416;1.89338133860228;1.51943340930675;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
673;1.15805446809543;1.89338133860228;1.38649431614307;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
674;1.59830749099172;1.89338133860228;1.24475691514581;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
675;1.61455688054151;1.89338133860228;1.20863390226741;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
676;1.45330052540261;1.89338133860228;1.21725483213084;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
677;0.933884219380174;1.89338133860228;1.21933866079224;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
678;1.06690749390708;1.89338133860228;1.19473150095181;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
679;1.19982626257494;1.89338133860228;1.10964627260447;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
680;1.38221257028625;1.89338133860228;0.96026616351509;0.788869392675407;-0.103340616210491;-0.324794887275638;0.0689719773002482;-0.127911454987695
