"Year";"PAGES2013method_NB_infilled_posr_East-Antarctica Recon";"2SE";"PAGES2013method_NB_infilled_posr_East-Antarctica Recon decadal";"2SE_decadal";"REs_fullcal";"REs_verif1";"REs_verfi2";"Mean_RE"
1183;0.33462219450722;1.1711572308284;0.187242061569394;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1184;0.15770614599641;1.1711572308284;0.165781456185441;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1185;0.587543418855402;1.1711572308284;0.127973151094048;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1186;0.46244284537192;1.1711572308284;0.0884884388686294;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1187;-0.0767382530040952;1.1711572308284;0.0393005228554674;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1188;-0.0283822847484102;1.1711572308284;-0.0621459273922006;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1189;-0.174192411044765;1.1711572308284;-0.151674864710907;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1190;-0.385459014146534;1.1711572308284;-0.202369828389101;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1191;-0.338056132423965;1.1711572308284;-0.229009878495084;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1192;-0.146481280808507;1.1711572308284;-0.171105714011611;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1193;-0.679842307969461;1.1711572308284;-0.175548460159492;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1194;-0.737583227190657;1.1711572308284;-0.218680620402136;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1195;0.0805937820734681;1.1711572308284;-0.189240473388416;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1196;0.196042344312092;1.1711572308284;-0.174639498901057;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1197;0.50230339183063;1.1711572308284;-0.121266221741975;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1198;-0.0728097462272186;1.1711572308284;-0.0288135511137001;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1199;-0.605514013471209;1.1711572308284;0.0933876075144437;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1200;-0.0910575440093338;1.1711572308284;0.0247879181589203;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1201;-0.192046387550371;1.1711572308284;-0.00841881542784048;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1202;0.387251490782308;1.1711572308284;-0.109445827746229;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1203;0.24468439831329;1.1711572308284;-0.112922895415621;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1204;0.484428359090781;1.1711572308284;-0.0526283769503707;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1205;-0.605403111481766;1.1711572308284;-0.00316150619045579;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1206;-0.136024991555516;1.1711572308284;-0.0159305392394451;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1207;-0.507966731353259;1.1711572308284;-0.0114441797325665;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1208;-0.107580422921132;1.1711572308284;-0.0453468941209184;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1209;-0.00256882881870901;1.1711572308284;-0.079637286067035;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1210;0.403611163589815;1.1711572308284;0.0353997488045333;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1211;-0.319736718040264;1.1711572308284;0.0643950317586656;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1212;0.432115085851094;1.1711572308284;0.0988667489751619;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1213;-0.094342745570229;1.1711572308284;0.135377296583945;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1214;0.141524439629616;1.1711572308284;0.161335937891236;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1215;0.544967237233917;1.1711572308284;0.104001113512811;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1216;0.153927837985807;1.1711572308284;0.0983924975616274;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1217;-0.163249559188296;1.1711572308284;-0.00347825369004534;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1218;0.257525053166702;1.1711572308284;-0.0279509233015823;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1219;0.257017584254195;1.1711572308284;-0.0280601403458709;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
