"Year";"PAGES2013method_NB_infilled_posr_Victoria-Land-Ross-Sea Recon";"2SE";"PAGES2013method_NB_infilled_posr_Victoria-Land-Ross-Sea Recon decadal";"2SE_decadal";"REs_fullcal";"REs_verif1";"REs_verfi2";"Mean_RE"
1721;-0.0706641975393919;2.20315672794724;-0.294403794451621;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1722;0.500348905857736;2.20315672794724;-0.246153633937241;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1723;-0.128137900308308;2.20315672794724;-0.18523222902893;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1724;-0.994544914284098;2.20315672794724;-0.137196282362642;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1725;-0.230830787432532;2.20315672794724;-0.0608697927934464;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1726;-0.069167448830781;2.20315672794724;-0.0448766993898686;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1727;0.206267985536038;2.20315672794724;-0.0395952201796242;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1728;0.0898260675665485;2.20315672794724;-0.0140770486160025;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1729;-0.179946265944963;2.20315672794724;0.123880048246116;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1730;0.268150627445289;2.20315672794724;0.221291439406272;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1731;0.0892667364963857;2.20315672794724;0.217661717818945;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1732;0.55316369796018;2.20315672794724;0.216212577254438;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1733;0.127043815327909;2.20315672794724;0.205346462062552;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1734;0.385026054337082;2.20315672794724;0.225634036348451;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1735;0.743283124169034;2.20315672794724;0.2177075394326;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1736;-0.105464664704054;2.20315672794724;0.226427171558118;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1737;0.191776579890967;2.20315672794724;0.20072822145634;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1738;-0.0188350843523102;2.20315672794724;0.209049907206706;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1739;0.0229294769140271;2.20315672794724;0.186743349593251;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1740;0.18888565828678;2.20315672794724;0.0754519418071788;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1741;0.176463057751569;2.20315672794724;0.0804872582427644;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1742;0.296174196942391;2.20315672794724;0.0480860059262828;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1743;0.210260672831578;2.20315672794724;-0.00496201061302635;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1744;0.16196047820253;2.20315672794724;-0.0287505473676852;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1745;-0.36963095369169;2.20315672794724;-0.0538310043465578;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1746;-0.0551115003481972;2.20315672794724;-0.164659379737437;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1747;-0.13223594327385;2.20315672794724;-0.230148648144285;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1748;-0.549315249745402;2.20315672794724;-0.297972321486628;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1749;-0.214955890632561;2.20315672794724;-0.372380255346877;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1750;-0.0619189115019458;2.20315672794724;-0.528969362266403;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1751;-0.931820696157221;2.20315672794724;-0.655696958224168;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
1752;-0.358718487126089;2.20315672794724;-0.796395693509878;0.698454394367167;-0.205832895387881;-0.247153054649722;-0.584553468880328;-0.415853261765025
