Fedchenko Glacier, Tajikistan Trace Element Data 
----------------------------------------------------------------------- 
               World Data Center for Paleoclimatology, Boulder 
                                  and 
                     NOAA Paleoclimatology Program 
----------------------------------------------------------------------- 
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!! 


NAME OF DATA SET: Fedchenko Glacier, Tajikistan Trace Element Data 
LAST UPDATE: 7/2011 (Original receipt by WDC Paleo) 
CONTRIBUTORS: Aizen, V.B., P.A. Mayewski, E.M. Aizen, D.R. Joswiak, 
A.B. Surazakov, S. Kaspari, B. Grigholm, M. Krachler, M. Handley, 
and A. Finaev. 
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2011-098 


WDC PALEO CONTRIBUTION SERIES CITATION: 
Aizen, V.B., et al. 2011. 
Fedchenko Glacier, Tajikistan Trace Element Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2011-098. 
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCE: 
Aizen, V.B., P.A. Mayewski, E.M. Aizen, D.R. Joswiak, A.B. Surazakov, 
S. Kaspari, B. Grigholm, M. Krachler, M. Handley, and A. Finaev. 2009. 
Stable-isotope and trace element time series from Fedchenko 
glacier (Pamirs) snow/firn cores. 
Journal of Glaciology, Vol. 55, No. 190, pp. 275-291, April 2009. 
DOI: 10.3189/002214309788608787 

ABSTRACT: 
In summer 2005, two pilot snow/firn cores were obtained at 5365 
and 5206 m a.s.l. on Fedchenko glacier, Pamirs, Tajikistan, 
the world's longest and deepest alpine glacier. The well-defined 
seasonal layering appearing in stable-isotope and trace element 
distribution identified the physical links controlling the climate 
and aerosol concentration signals. Air temperature and humidity/
precipitation were the primary determinants of stable-isotope ratios. 
Most precipitation over the Pamirs originated in the Atlantic. 
In summer, water vapor was re-evaporated from semi-arid regions 
in central Eurasia. The semi-arid regions contribute to non-soluble 
aerosol loading in snow accumulated on Fedchenko glacier. In the 
Pamir core, concentrations of rare earth elements, major and other 
elements were less than those in the Tien Shan but greater than 
those in Antarctica, Greenland, the Alps and the Altai. 
The content of heavy metals in the Fedchenko cores is 2-14 times 
lower than in the Altai glaciers. Loess from Afghan-Tajik deposits 
is the predominant lithogenic material transported to the Pamirs. 
Trace elements generally showed that aerosol concentration tended 
to increase on the windward slopes during dust storms but tended 
to decrease with altitude under clear conditions. The trace element 
profile documented one of the most severe droughts in the 20th century. 




GEOGRAPHIC REGION: Pamir, Tajikistan, Central Asia 
PERIOD OF RECORD: 

FUNDING SOURCES: 
US National Science Foundation (ATM-0754644 and ATM-0754479), 
US National Oceanic and Atmospheric Administration (NA04OAR4600179) 
(to UI and UM). 



DESCRIPTION: 
High-resolution Major and Trace Element data from two shallow 2005 
Fedchenko Glacier ice cores from upper accumulation zone of the Pamir.  

Fedchenko Glacier ice cores: 
Core 1: 38.55°N, 72.26°E, 5365m elev., 12.58m core length
Core 2: 38.55°N, 72.26°E, 5206m elev., 9.14m core length 




DATA: 
1a. Fedchenko Glacier core 1 elements data, part 1 of 2 

Core 1 Sample#   Depth(m)    Sr(ppt)    Cd(ppt)    Sb(ppt)    Cs(ppt)    Ba(ppt)    La(ppt)    Ce(ppt)    Pr(ppt)    Nd(ppt)    Sm(ppq)    Eu(ppq)    Gd(ppq)    Tb(ppq)    Dy(ppq)    Ho(ppq)    Er(ppq)    Tm(ppq)
Ice Core 19         4.02     756.26      31.57      32.26      20.41    1508.77     194.10     389.12      42.86     183.77   41550.41    8494.45   10023.10    5611.94   30745.81    5851.57   15173.32    1916.75
Ice Core 20         4.12    1183.24      57.38      40.79      50.00    3475.41     385.20     770.62      90.88     374.90   84163.79   19943.54   23225.46   13739.89   75066.55   14236.44   36726.22    5189.64
Ice Core 21          4.2     453.39      30.76      26.68      29.78    1655.74     197.80     405.91      48.66     191.18   43196.85   10752.87   11841.51    7046.27   38808.62    7155.59   17346.20    2344.41
Ice Core 22         4.29     271.09      18.09      16.13      18.40     901.64     126.65     270.23      29.79     123.26   28152.02    5981.26    7263.46    4032.55   22216.14    4203.94   10077.58    1350.16
Ice Core 23          4.4     175.38      11.51      11.68       9.52     487.49      69.02     146.73      15.82      64.39   14323.92    3319.54    3750.99    2250.12   12000.49    2011.86    5073.51     716.12
Ice Core 24         4.52     154.61       7.73      12.77       7.70     399.15      57.65     152.21      14.56      53.78   11015.30    2531.08    2895.55    1742.68    9001.69    1610.15    4354.02     609.21
Ice Core 26         4.64     307.61      12.60       6.48       8.55     529.91      45.35      94.24      11.53      47.28   10797.94    2565.93    2964.12    1677.95    8686.37    1531.01    3769.53     598.11
Ice Core 27         4.75     351.91       7.46       4.93       4.53     272.93      26.94      53.29       6.54      26.37    5738.06    1201.31    1412.00     851.68    4560.82     824.51    2043.00     280.24
Ice Core 28         4.86     371.79      10.40       5.80       4.73     425.78      71.06     143.73      17.77      69.77   14235.52    2968.28    3541.12    1931.67   10120.14    1822.96    4475.32     653.80
Ice Core 29         4.97     990.96      10.36       7.12      13.57     590.83      64.44     133.24      17.18      68.43   15012.64    3303.03    4081.01    2167.92   11089.07    2005.31    5095.98     694.33
Ice Core 30         5.08    3086.46      38.06      21.65      52.64    3669.68     462.36     981.29     119.88     478.37  109644.82   26518.31   28940.94   15506.86   82247.48   15985.59   38135.47    5190.46
Ice Core 31         5.18     295.36       3.91      17.47       4.38     275.02      32.23      62.85       7.82      31.77    7209.12    1644.70    1823.58     934.25    5090.09     964.41    2174.68     311.41
Ice Core 32         5.28     313.88       4.15       4.17      12.66     445.58      58.55     123.29      14.08      59.88   14106.52    3348.57    3605.22    2156.14   10436.15    1913.51    4807.35     689.00
Ice Core 33         5.38     564.50       5.27       6.31       3.08     270.45      22.66      47.16       5.52      22.60    4726.04     998.56    1154.15     599.33    3166.34     604.66    1542.36     220.67
Ice Core 34         5.48     415.81       6.33       7.56      12.50     540.82      85.58     174.22      20.64      84.37   19983.46    4243.53    4789.27    2461.04   14231.14    2644.95    6608.78     900.81
Ice Core 35         5.54    5743.49      46.35      32.84      97.35    4992.60     602.04    1310.23     151.38     610.95  143299.14   33241.51   35170.64   20240.84  108649.29   20663.16   50554.84    7359.70
Ice Core 36         5.64     744.59       5.21       6.38      16.39     668.48      84.82     178.65      21.19      88.72   21149.43    4830.93    5220.63    3081.10   16561.06    2946.71    7066.64     868.20
Ice Core 37         5.74     542.17       3.32       7.17       5.20     264.53      29.80      63.49       7.10      28.97    6397.36    1429.38    1560.84     905.65    4503.33     821.73    2093.88     292.08
Ice Core 38         5.84     315.24       2.16       5.93       3.61     157.97      21.04      43.90       4.98      20.53    4476.29     943.52    1120.17     636.20    3233.42     579.48    1450.49     210.72
